publication,filename,archiveType,variableType,proxyObservationType,units,rank,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
wiki_lipd_files,A7.Oppo.2005.lpd,marine sediment,measured,Depth,cm,NA,NA,NA,NA,NA
wiki_lipd_files,A7.Oppo.2005.lpd,marine sediment,measured,D18O,per mil,2,Temperature,Sea Surface,Sea Surface Temperature,deg C
wiki_lipd_files,A7.Oppo.2005.lpd,marine sediment,measured,D18O,per mil,2,D18Osw,Sea Surface,Sea Surface D18Osw,permil
wiki_lipd_files,A7.Oppo.2005.lpd,marine sediment,measured,Mg/Ca,mmol/mol,1,Temperature,Sea Surface,Sea Surface Temperature,deg C
PAGES2kv2,Afr-ColdAirCave.Sundqvist.2013.lpd,speleothem,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Afr-ColdAirCave.Sundqvist.2013.lpd,speleothem,measured,SE,degC,NA,NA,NA,NA,NA
PAGES2kv2,Afr-LakeMalawi.Powers.2011.lpd,lake sediment,measured,Core,NotApplicable,NA,NA,NA,NA,NA
PAGES2kv2,Afr-LakeMalawi.Powers.2011.lpd,lake sediment,measured,Depth,cm,NA,NA,NA,NA,NA
PAGES2kv2,Afr-LakeMalawi.Powers.2011.lpd,lake sediment,measured,TEX86,NA,1,Temperature,Lake Surface,Lake Surface Temperature,deg C
PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,lake sediment,measured,TEX86,degC,NA,NA,NA,NA,NA
PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,lake sediment,measured,Upper95,degC,NA,NA,NA,NA,NA
PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,lake sediment,measured,Lower95,degC,NA,NA,NA,NA,NA
PAGES2kv2,Ant-BerknerIsland.Mulvaney.2002.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Ant-CoastalDML.Thamban.2012.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Ant-DomeC.Jouzel.2001.lpd,glacier ice,measured,Dd,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Ant-DomeC.Stenni.2001.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Ant-DomeF1993.Uemura.2014.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Ant-DomeF2001.Uemura.2008.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Ant-DSS.Moy.2012.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Ant-Ferrigno.Thomas.2013.lpd,glacier ice,measured,Dd,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Ant-JamesRossIsland.Mulvaney.2013.lpd,glacier ice,measured,Dd,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Ant-MES.Rhodes.2012.lpd,glacier ice,measured,Dd,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Ant-PlateauRemote.Mosley-Thompson.2013.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Ant-SipleStation.Mosley-Thompson.1990.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Ant-SiteDML05.Graf.2002.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Ant-SiteDML07.Graf.2002.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Ant-SiteDML17.Graf.2002.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
