coordinates,publication,filename,archiveType,variableType,description,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits,rank
"[145.725, 43.955, 2400]",PAGES2kv2,Asi-KunashirIsland.Demezhko.2009.lpd,hybrid,inferred,synthesized ground surface temperatures,NA,Ground Surface,Temperature,degC,1
"[118.8, 32.1, 2200]",PAGES2kv2,Asi-LowerYangtzeRiver.Zhang.1980.lpd,documents,inferred,"Frequency of cold/warm years, winter temperature",NA,Air Surface,Temperature,index,1
"[114.5, 30.5, 1900]",PAGES2kv2,Asi-MiddleYangtzeRiver.Zhang.1980.lpd,documents,inferred,"Frequency of cold/warm years, winter temperature",NA,Air Surface,Temperature,index,1
"[126.36, 42.17, 1000]",PAGES2kv2,Asi-SihailongwaLake.Chu.2011.lpd,lake sediment,inferred,inferred temperature,NA,Lake Surface,Temperature,degC,1
"[65.9167, 24.8333, -695]",PAGES2kv2,Asi-SO90-39KGSO130-275KL.Munz.2015.lpd,marine sediment,inferred,inferred temperature,NA,Sea Surface,Temperature,degC,1
"[59.5, 55, 1900]",PAGES2kv2,Asi-SourthAndMiddleUrals.Demezhko.2007.lpd,borehole,inferred,inferred ground surface temperature (GST) anomaly,NA,Ground Surface,Temperature,degC,1
"[114, 23, 2200]",PAGES2kv2,Asi-SouthChina.Wang.1998.lpd,documents,inferred,"Cold/warm description, annual temperature",NA,Air Surface,Temperature,index,1
"[118, 25, 2400]",PAGES2kv2,Asi-ZhejiangAndFujian.Zhang.1980.lpd,documents,inferred,"Frequency of cold/warm years, winter temperature",NA,Air Surface,Temperature,index,1
"[145.53, -41.83, 900]",PAGES2kv2,Aus-MtRead.Cook.2006.lpd,tree,inferred,NA,NA,Air Surface,Temperature,degC,1
"[170.28, -43.23, 110]",PAGES2kv2,Aus-Oroko.Cook.2002.lpd,tree,inferred,NA,NA,Air Surface,Temperature,degC,1
"[0.75, 42.5, 2280]",PAGES2kv2,Eur-CentralandEasternPyrenees.Pla.2004.lpd,lake sediment,inferred,Chrysophyte cyst derived temperature anomaly,NA,Air Surface,Temperature,degC,1
"[0.75, 42.5, 2280]",PAGES2kv2,Eur-CentralandEasternPyrenees.Pla.2004.lpd,lake sediment,inferred,Error estimate for temperature,NA,NA,uncertainty_temperature,degC,NA
"[13, 49, 0]",PAGES2kv2,Eur-CentralEurope.Dobrovoln.2009.lpd,documents,inferred,NA,NA,Air Surface,Temperature,degC,1
"[-8.9, 41.1, -80]",PAGES2kv2,Eur-CoastofPortugal.Abrantes.2011.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[28.325, 62, 130]",PAGES2kv2,Eur-FinnishLakelands.Helama.2014.lpd,tree,inferred,NA,NA,Air Surface,Temperature,degC,1
"[9.8, 46.5, 1791]",PAGES2kv2,Eur-LakeSilvaplana.Larocque-Tobler.2010.lpd,lake sediment,inferred,Chironomid-inferred Temperature 50-year filter,NA,Air Surface,Temperature,degC,1
"[9.8, 46.5, 1791]",PAGES2kv2,Eur-LakeSilvaplana.Trachsel.2010.lpd,lake sediment,inferred,NA,NA,Air Surface,Temperature,degC,1
"[7.5, 46.15, 1830]",PAGES2kv2,Eur-Seebergsee.Larocque-Tobler.2012.lpd,lake sediment,inferred,NA,NA,Air Surface,Temperature,degC,1
"[18.06, 59.32, 10]",PAGES2kv2,Eur-Stockholm.Leijonhufvud.2009.lpd,documents,inferred,NA,NA,Air Surface,Temperature,degC,1
"[24.75, 59.4, 10]",PAGES2kv2,Eur-Tallinn.Tarand.2001.lpd,documents,inferred,NA,NA,Air Surface,Temperature,degC,1
"[-70.1, 44.5, 124]",PAGES2kv2,NAm-BasinPond.Gajewski.1988.lpd,lake sediment,inferred,Mean temperature of the warmest month,NA,Air Surface,Temperature,degC,1
"[-79, 33.8, 513]",PAGES2kv2,NAm-ClearPond.Gajewski.1988.lpd,lake sediment,inferred,Mean temperature of the warmest month,NA,Air Surface,Temperature,degC,1
"[-67.9, 46.3, 140]",PAGES2kv2,NAm-ConroyLake.Gajewski.1988.lpd,lake sediment,inferred,Mean temperature of the warmest month,NA,Air Surface,Temperature,degC,1
"[-91.5, 45.3, 334]",PAGES2kv2,NAm-DarkLake.Gajewski.1988.lpd,lake sediment,inferred,Mean temperature of the warmest month,NA,Air Surface,Temperature,degC,1
"[-89.7, 46.2, 488]",PAGES2kv2,NAm-HellsKitchenLake.Gajewski.1988.lpd,lake sediment,inferred,Mean temperature of the warmest month,NA,Air Surface,Temperature,degC,1
"[-75.1, 45.8, 176]",PAGES2kv2,NAm-LacNoir.Paquette.2013.lpd,lake sediment,inferred,Mean temperature of JJA,NA,Air Surface,Temperature,degC,1
"[-95.478, 45.89, 415]",PAGES2kv2,NAm-LakeMina.St.Jacques.2008.lpd,lake sediment,inferred,Pollen-based winter temperature reconstruction,NA,Air Surface,Temperature,degC,1
"[-95.478, 45.89, 415]",PAGES2kv2,NAm-LakeMina.St.Jacques.2008.lpd,lake sediment,inferred,Pollen-based summer temperature reconstruction,NA,Air Surface,Temperature,degC,1
"[-91, 48, 462]",PAGES2kv2,NAm-LakeoftheClouds.Gajewski.1988.lpd,lake sediment,inferred,Mean temperature of July,NA,Air Surface,Temperature,degC,1
