coordinates,publication,filename,archiveType,variableType,description,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits,rank
"[-51.0333, 66.9875, 170]",Temp12k1_0_1,BrayaSo.vonGunten.2012.lpd,LakeSediment,inferred,NA,NA,NA,Age,BP,NA
"[-130.65, 61.68, 1040]",Temp12k1_0_1,CandelabraLake.Cwynar.1995.lpd,LakeSediment,inferred,NA,NA,Air Surface,Temperature,degC,1
"[-58.0365, 61.4639, -2674]",Temp12k1_0_1,CC04.Gibb.2015.lpd,MarineSediment,inferred,SST_winter,NA,Sea Surface,Temperature,degC,1
"[-58.0365, 61.4639, -2674]",Temp12k1_0_1,CC04.Gibb.2015.lpd,MarineSediment,inferred,SST_summer,NA,Sea Surface,Temperature,degC,1
"[-58.0365, 61.4639, -2674]",Temp12k1_0_1,CC04.Gibb.2015.lpd,MarineSediment,inferred,SST_winter; SST_summer,NA,Sea Surface,temperatureComposite,degC,1
"[-68.9519, 70.5569, 195]",Temp12k1_0_1,CF8.Axford.2011.lpd,LakeSediment,inferred,NA,NA,NA,nonReliableTemperature 1,degC,NA
"[37.7, -3.3167, 880]",Temp12k1_0_1,ChallaLake.Damst.2012.lpd,LakeSediment,inferred,"mean annual air temperature, inferred from Tierney et al., 2010 calibration 10.1016/j.gca.2010.06.002",NA,Air Surface,Temperature,degC,1
"[91.1778, 30.5619, 4280]",Temp12k1_0_1,CN01.Cheung.2017.lpd,Peat,inferred,NA,NA,NA,Age,BP,NA
"[91.1778, 30.5619, 4280]",Temp12k1_0_1,CN01.Cheung.2017.lpd,Peat,inferred,digitized temperature record from Figure 3,NA,Air Surface,Temperature,degC,1
"[110, 31.4667, 1700]",Temp12k1_0_1,DajiuhuPeatland.Huang.2013.lpd,Peat,inferred,NA,NA,NA,Age,BP,NA
"[110, 31.4667, 1700]",Temp12k1_0_1,DajiuhuPeatland.Huang.2013.lpd,Peat,inferred,NA,NA,Air Surface,Temperature,degC,1
"[-20.7027, 61.6089, -2120]",Temp12k1_0_1,DANA12_11_2_GC01.VanNieuwenhove.2018.lpd,MarineSediment,inferred,Winter SST,NA,NA,Temperature,degC,NA
"[-20.7027, 61.6089, -2120]",Temp12k1_0_1,DANA12_11_2_GC01.VanNieuwenhove.2018.lpd,MarineSediment,inferred,Summer SST,NA,NA,Temperature,degC,NA
"[-20.7027, 61.6089, -2120]",Temp12k1_0_1,DANA12_11_2_GC01.VanNieuwenhove.2018.lpd,MarineSediment,inferred,annualSST,NA,Sea Surface,Temperature,degC,1
"[-138.32, 65.21, 740]",Temp12k1_0_1,DempsterPeatland.Porter.2019.lpd,Ice-other,inferred,Reconstructed summer temperature anomalies expressed relative to the Holocene mean.,NA,Air Surface,temperature1,degC,1
"[-138.32, 65.21, 740]",Temp12k1_0_1,DempsterPeatland.Porter.2019.lpd,Ice-other,inferred,"deltaT -1 sigma, expressed relative to the Holocene mean",NA,NA,uncertainty temperature1,degC,NA
"[-138.32, 65.21, 740]",Temp12k1_0_1,DempsterPeatland.Porter.2019.lpd,Ice-other,inferred,"deltaT + 1 sigma, expressed relative to the Holocene mean",NA,NA,uncertainty temperature1,degC,NA
"[-43.8248, 65.1857, 2490]",Temp12k1_0_1,DYE3.Dahl-Jensen.1998.lpd,GlacierIce,inferred,NA,NA,NA,Age,BP,NA
"[-43.8248, 65.1857, 2490]",Temp12k1_0_1,DYE3.Dahl-Jensen.1998.lpd,GlacierIce,inferred,NA,NA,Air Surface,Temperature,degC,1
"[0.0683, -75.0025, 2892]",Temp12k1_0_1,EDML.Stenni.2010.lpd,GlacierIce,inferred,"Column F: T anomalies (°C) at EDML site after correction for past d18O seawater changes, moisture source T through deuterium excess and for elevation changes (upstream effects+local elevation changes).",NA,Air Surface,Temperature,degC,1
"[172.219, 67.441, 520]",Temp12k1_0_1,ElGygytgynCrater.Schwamborn.2006.lpd,Ice-other,inferred,NA,NA,NA,Age,BP,NA
"[123.3953, -75.1019, 3233]",Temp12k1_0_1,EPICADomeC.Stenni.2010.lpd,GlacierIce,inferred,Column C: T anomalies (°C) at EDC site after correction for moisture source tempertature through deuterium excess and site elevation changes.,NA,Air Surface,Temperature,degC,1
"[123.3953, -75.1019, 3233]",Temp12k1_0_1,EPICADomeC.Stenni.2010.lpd,GlacierIce,inferred,Column D: moisture source T anomalies (°C),NA,NA,tempSource,degC,NA
"[-37.053, -54.497, 94]",Temp12k1_0_1,FanLake.Foster.2016.lpd,LakeSediment,inferred,Foster et al (2016) ANT-GDGT Calibrated Temp (°C). MSAT = 18.7+ (80.3×GDGT-Ib) −(25.3 ×GDGT-II)−(19.4×GDGT-III) +(369.9×GDGT-IIIb),NA,Air Surface,Temperature,degC,1
"[104.6425, -7.1135, -2460]",Temp12k1_0_1,GeoB10042_1.Setiawan.2015.lpd,MarineSediment,inferred,SST_1_12_degC,NA,Sea Surface,Temperature,degC,1
"[105.0587, -7.3092, -2172]",Temp12k1_0_1,GeoB10043_3.Setiawan.2015.lpd,MarineSediment,inferred,SST_1_12_degC,NA,Sea Surface,Temperature,degC,1
"[39.1082, -5.5732, -195]",Temp12k1_0_1,GeoB12605_3.Kuhnert.2014.lpd,MarineSediment,inferred,SST_1_12_degC,NA,Sea Surface,Temperature,degC,1
"[-72.0333, -32.75, -2545]",Temp12k1_0_1,GIK17748-2.Kim.2002.lpd,MarineSediment,inferred,NA,NA,NA,Sedimentation Rate,cm/kyr,NA
"[-72.0333, -32.75, -2545]",Temp12k1_0_1,GIK17748-2.Kim.2002.lpd,MarineSediment,inferred,NA,NA,Na,Sea Surface Temperature,degC,1
"[119.36, -3.6298, -688]",Temp12k1_0_1,GiK18515_3.lpd,MarineSediment,inferred,SST (1-12) [C],NA,Sea Surface,Temperature,degC,1
"[14, 75, -1768]",Temp12k1_0_1,GIK23258.Sarnthein.2003.lpd,MarineSediment,inferred,NA,NA,Sea Surface,Temperature,degC,1
"[14, 75, -1768]",Temp12k1_0_1,GIK23258.Sarnthein.2003.lpd,MarineSediment,inferred,"this is a composite of the Artificial Neural Network calibration, to estimate annual (from Summer and winter)",NA,Sea Surface,Temperature,degC,1
"[177.4392, -36.9225, -2045]",Temp12k1_0_1,H214.Samson.2005.lpd,MarineSediment,inferred,sst_cold_mat,NA,Sea Surface,Temperature,degC,1
"[177.4392, -36.9225, -2045]",Temp12k1_0_1,H214.Samson.2005.lpd,MarineSediment,inferred,sst_cold_mat_err,NA,NA,uncertainty.temperature,degC,NA
"[177.4392, -36.9225, -2045]",Temp12k1_0_1,H214.Samson.2005.lpd,MarineSediment,inferred,sst_warm_mat,NA,Sea Surface,Temperature,degC,1
"[177.4392, -36.9225, -2045]",Temp12k1_0_1,H214.Samson.2005.lpd,MarineSediment,inferred,sst_warm_mat_err,NA,NA,uncertainty.temperature,degC,NA
"[177.4392, -36.9225, -2045]",Temp12k1_0_1,H214.Samson.2005.lpd,MarineSediment,inferred,sst_cold_mat; sst_warm_mat,NA,Sea Surface,temperatureComposite,degC,1
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Peat,inferred,NA,NA,NA,Age,BP,NA
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Peat,inferred,NA,NA,Air Surface,Temperature,degC,1
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Peat,inferred,NA,NA,NA,uncertainty_plus,degC,NA
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Peat,inferred,NA,NA,NA,undertainty_minus,degC,NA
"[110.4167, 30.45, 294]",Temp12k1_0_1,HeshangCave.Wang.2018.lpd,Speleothem,inferred,NA,NA,NA,Age,BP,NA
"[110.4167, 30.45, 294]",Temp12k1_0_1,HeshangCave.Wang.2018.lpd,Speleothem,inferred,NA,NA,Air Surface,Temperature,degC,1
"[-18.7614, 76.4331, 114]",Temp12k1_0_1,HjortSo.Wagner.2008.lpd,LakeSediment,inferred,NA,NA,NA,Age,BP,NA
"[-6.07, 60.11, 1156]",Temp12k1_0_1,HM03_133_25.Solignac.2008.lpd,MarineSediment,inferred,temperature_winter,NA,Sea Surface,Temperature,degC,1
"[-6.07, 60.11, 1156]",Temp12k1_0_1,HM03_133_25.Solignac.2008.lpd,MarineSediment,inferred,temperature_summer,NA,Sea Surface,Temperature,degC,1
"[-6.07, 60.11, 1156]",Temp12k1_0_1,HM03_133_25.Solignac.2008.lpd,MarineSediment,inferred,temperature_winter; temperature_summer,NA,Sea Surface,temperatureComposite,degC,1
"[-138.4, 64.63, 1160]",Temp12k1_0_1,Honeymoon.Cwynar.1991.lpd,LakeSediment,inferred,NA,NA,Air Surface,Temperature,degC,1
"[96.91, 37.28, 2817]",Temp12k1_0_1,HurlegLake.Zhao.2013.lpd,LakeSediment,inferred,Digitized temperature from figure 7a,NA,Air Surface,Temperature,degC,1
"[-57.685, -64.2017, 1542]",Temp12k1_0_1,JamesRossIsland.Mulvaney.2012.lpd,GlacierIce,inferred,raw data JRI-1 age,NA,NA,Age,BP,NA
"[126.37, 42.33, 600]",Temp12k1_0_1,JinchueanBog.Yu.2013.lpd,Peat,inferred,NA,NA,NA,Age,BP,NA
"[126.37, 42.33, 600]",Temp12k1_0_1,JinchueanBog.Yu.2013.lpd,Peat,inferred,NA,NA,NA,ageMin,BP,NA
"[126.37, 42.33, 600]",Temp12k1_0_1,JinchueanBog.Yu.2013.lpd,Peat,inferred,NA,NA,NA,ageDuplicate,BP,NA
"[126.37, 42.33, 600]",Temp12k1_0_1,JinchueanBog.Yu.2013.lpd,Peat,inferred,Proxy inverse modeling of the stable carbon and oxygen isotopes using a mechanistic model that governs the fractionation of these isotopic species in peat cellulose,NA,Air Surface,Temperature,degC,1
"[126.37, 42.33, 600]",Temp12k1_0_1,JinchueanBog.Yu.2013.lpd,Peat,inferred,NA,NA,NA,uncertaintyHigh,degC,NA
"[126.37, 42.33, 600]",Temp12k1_0_1,JinchueanBog.Yu.2013.lpd,Peat,inferred,NA,NA,NA,uncertaintyLow,degC,NA
"[-69.4632, -54.3199, -297]",Temp12k1_0_1,JPC67.Bertrand.2017.lpd,MarineSediment,inferred,NA,NA,NA,Age,BP,NA
"[-69.4632, -54.3199, -297]",Temp12k1_0_1,JPC67.Bertrand.2017.lpd,MarineSediment,inferred,NA,NA,Sea Surface,Temperature,degC,1
"[56.9, 54.2, 240]",Temp12k1_0_1,KinderlinskayaCave.Baker.2017.lpd,Speleothem,inferred,NA,NA,NA,Age,BP,NA
"[97.4833, -74.083, 3499]",Temp12k1_0_1,Komosomolskaia.Ciais.1992.lpd,GlacierIce,inferred,NA,NA,NA,Age,BP,NA
"[97.4833, -74.083, 3499]",Temp12k1_0_1,Komosomolskaia.Ciais.1992.lpd,GlacierIce,inferred,NA,NA,Air Surface,Temperature,degC,1
"[140.7667, 41, -61]",Temp12k1_0_1,KT05_7_PC_02.Kawahata.2009.lpd,MarineSediment,inferred,SST_1_12_degC,NA,Sea Surface,Temperature,degC,1
"[11.23, -5.7, -816]",Temp12k1_0_1,KZAI_01.Hardy.2018.lpd,MarineSediment,inferred,SST_Annual,NA,Sea Surface,Temperature,degC,1
"[-120.1833, 49.05, 2050]",Temp12k1_0_1,LakeoftheWoods.Palmer.2002.lpd,LakeSediment,inferred,NA,NA,NA,Age,BP,NA
"[-45.2, -25.84, -827]",Temp12k1_0_1,LaPAS_KF02.Pivel.2013.lpd,MarineSediment,inferred,SST_1_12_degC,NA,Sea Surface,Temperature,degC,1
"[-45.2, -25.84, -827]",Temp12k1_0_1,LaPAS_KF02.Pivel.2013.lpd,MarineSediment,inferred,SST_1_12_std_dev_plus_minus,NA,NA,uncertainty.temperature,degC,NA
"[-135.4, 59.2, 230]",Temp12k1_0_1,Lily.Cwynar.1990.lpd,LakeSediment,inferred,NA,NA,Air Surface,Temperature,degC,1
"[-61.2437, 12.0897, -1299]",Temp12k1_0_1,M35003_4.R_hlemann.1999.lpd,MarineSediment,inferred,sst_uk37,NA,Na,Temperature,degC,1
"[37.8685, -18.2412, -1339]",Temp12k1_0_1,M75_3_137_3.Wang.2013.lpd,MarineSediment,inferred,SST_degC,NA,Sea Surface,Temperature,degC,1
"[-81.1247, -3.7498, -355]",Temp12k1_0_1,M77_2_056_5.Neurnberg.2015.lpd,MarineSediment,inferred,SST_degC,NA,Sea Surface,Temperature,degC,1
"[-81.1247, -3.7498, -355]",Temp12k1_0_1,M77_2_056_5.Neurnberg.2015.lpd,MarineSediment,inferred,SubT_degC,NA,Na,Temperature,degC,1
"[-81.3205, -3.9502, -997]",Temp12k1_0_1,M77_2_059_1.N_rnberg.2015.lpd,MarineSediment,inferred,SST_degC_Calculated_from_Mg_Ca_ratios,NA,Sea Surface,Temperature,degC,1
"[-81.3205, -3.9502, -997]",Temp12k1_0_1,M77_2_059_1.N_rnberg.2015.lpd,MarineSediment,inferred,SubT_degC,NA,Na,Temperature,degC,1
"[-81.3205, -3.9502, -997]",Temp12k1_0_1,M77_2_059_1.N_rnberg.2015.lpd,MarineSediment,inferred,SST_degC_Calculated_from_UK'37_Prahl,NA,Sea Surface,Temperature,degC,1
"[153.0533, -25.4475, 90]",Temp12k1_0_1,Mackenzie.Woltering.2014.lpd,LakeSediment,inferred,NA,NA,NA,Age,BP,NA
"[153.0533, -25.4475, 90]",Temp12k1_0_1,Mackenzie.Woltering.2014.lpd,LakeSediment,inferred,NA,NA,NA,ageError,yr,NA
"[153.0533, -25.4475, 90]",Temp12k1_0_1,Mackenzie.Woltering.2014.lpd,LakeSediment,inferred,NA,NA,Air Surface,Temperature,degC,a
"[153.0533, -25.4475, 90]",Temp12k1_0_1,Mackenzie.Woltering.2014.lpd,LakeSediment,inferred,NA,NA,NA,uncertaintyHigh,degC,NA
"[153.0533, -25.4475, 90]",Temp12k1_0_1,Mackenzie.Woltering.2014.lpd,LakeSediment,inferred,NA,NA,NA,uncertaintyLow,degC,NA
"[34.4372, -11.2939, 500]",Temp12k1_0_1,Malawi.Johnson.2016.lpd,LakeSediment,inferred,NA,NA,NA,Age,BP,NA
"[34.4372, -11.2939, 500]",Temp12k1_0_1,Malawi.Johnson.2016.lpd,LakeSediment,inferred,NA,NA,Lake Surface,Temperature,degC,1
"[34.4372, -11.2939, 500]",Temp12k1_0_1,Malawi.Johnson.2016.lpd,LakeSediment,inferred,NA,NA,Na,smoothedTemp,degC,1
"[138.5572, -66.0512, -746]",Temp12k1_0_1,MD03-2601.Kim.2012.lpd,MarineSediment,inferred,NA,NA,NA,Age,BP,NA
"[138.5572, -66.0512, -746]",Temp12k1_0_1,MD03-2601.Kim.2012.lpd,MarineSediment,inferred,NA,NA,Sea Surface,Subsurface Temperature,degC,1
"[137.4065, -36.9607, -865]",Temp12k1_0_1,MD03_2607-Assemblage.LopesdosSantos.2013.lpd,MarineSediment,inferred,SST_1_12_degC_Calculated_from_UK'37_Prahl,NA,Na,Temperature,degC,1
"[137.4065, -36.9607, -865]",Temp12k1_0_1,MD03_2607-Assemblage.LopesdosSantos.2013.lpd,MarineSediment,inferred,SST_1_12_degC_Calculated_from_TEX86_Kim_et,NA,Na,Temperature,degC,1
"[137.4065, -36.9607, -865]",Temp12k1_0_1,MD03_2607-Assemblage.LopesdosSantos.2013.lpd,MarineSediment,inferred,SST_1_12_degC_Calculated_from_LDI_Rampen_e,NA,Na,Temperature,degC,1
"[126.4977, 6.5143, -1575]",Temp12k1_0_1,MD06_3067.Bolliet.2011.lpd,MarineSediment,inferred,SST_1_12_degC,NA,Sea Surface,Temperature,degC,1
"[126.4977, 6.5143, -1575]",Temp12k1_0_1,MD06_3067.Bolliet.2011.lpd,MarineSediment,inferred,TT_degC,NA,Sea Thermocline,Temperature,degC,1
"[-8.5338, 47.452, -2174]",Temp12k1_0_1,MD95_2002.Eynaud.2012.lpd,MarineSediment,inferred,SST_Winter,NA,Sea Surface,Temperature,degC,1
"[-8.5338, 47.452, -2174]",Temp12k1_0_1,MD95_2002.Eynaud.2012.lpd,MarineSediment,inferred,SST_summer,NA,Sea Surface,Temperature,degC,1
"[-8.5338, 47.452, -2174]",Temp12k1_0_1,MD95_2002.Eynaud.2012.lpd,MarineSediment,inferred,SST_annual,NA,Sea Surface,Temperature,degC,1
"[7.6393, 66.9697, -1048]",Temp12k1_0_1,MD95_2011Assemblage.Risebrobakken.2003.lpd,MarineSediment,inferred,SST_sum_degC,NA,Sea Surface,Temperature,degC,1
"[174.9308, -45.5344, -1210]",Temp12k1_0_1,MD97_2120.Pahnke.2006.lpd,MarineSediment,inferred,sst_uk37_p,NA,Sea Surface,Temperature,degC,1
"[123.49, 14.82, -730]",Temp12k1_0_1,MD98_2188.Dang.2012.lpd,MarineSediment,inferred,SST_Anand,NA,Sea Surface,Temperature,degC,1
"[123.49, 14.82, -730]",Temp12k1_0_1,MD98_2188.Dang.2012.lpd,MarineSediment,inferred,TWT_Anand,NA,Sea Subsurface,Temperature,degC,1
"[-110.1304, 37.9049, 1835]",Temp12k1_0_1,MiddenCluster1.Harbert.2018.lpd,Midden,inferred,NA,NA,NA,Age,BP,NA
"[-110.1304, 37.9049, 1835]",Temp12k1_0_1,MiddenCluster1.Harbert.2018.lpd,Midden,inferred,Mean annual temperature reconstruction,NA,Air Surface,temperature1,degC,1
"[-115.1879, 36.3806, 1297]",Temp12k1_0_1,MiddenCluster2.Harbert.2018.lpd,Midden,inferred,NA,NA,NA,Age,BP,NA
"[-115.1879, 36.3806, 1297]",Temp12k1_0_1,MiddenCluster2.Harbert.2018.lpd,Midden,inferred,Mean annual temperature reconstruction,NA,Air Surface,temperature1,degC,1
"[-108.0819, 36.0589, 1848]",Temp12k1_0_1,MiddenCluster3.Harbert.2018.lpd,Midden,inferred,NA,NA,NA,Age,BP,NA
"[-108.0819, 36.0589, 1848]",Temp12k1_0_1,MiddenCluster3.Harbert.2018.lpd,Midden,inferred,Mean annual temperature reconstruction,NA,Air Surface,temperature1,degC,1
"[-112.7451, 43.6488, 1517]",Temp12k1_0_1,MiddenCluster4.Harbert.2018.lpd,Midden,inferred,NA,NA,NA,Age,BP,NA
"[-112.7451, 43.6488, 1517]",Temp12k1_0_1,MiddenCluster4.Harbert.2018.lpd,Midden,inferred,Mean annual temperature reconstruction,NA,Air Surface,temperature1,degC,1
"[-106.0203, 32.4659, 1760]",Temp12k1_0_1,MiddenCluster5.Harbert.2018.lpd,Midden,inferred,NA,NA,NA,Age,BP,NA
"[-106.0203, 32.4659, 1760]",Temp12k1_0_1,MiddenCluster5.Harbert.2018.lpd,Midden,inferred,Mean annual temperature reconstruction,NA,Air Surface,temperature1,degC,1
"[-106.0203, 32.4659, 1237]",Temp12k1_0_1,MiddenCluster6.Harbert.2018.lpd,Midden,inferred,NA,NA,NA,Age,BP,NA
"[-106.0203, 32.4659, 1237]",Temp12k1_0_1,MiddenCluster6.Harbert.2018.lpd,Midden,inferred,Mean annual temperature reconstruction,NA,Air Surface,temperature1,degC,1
"[-116.0048, 34.1548, 573]",Temp12k1_0_1,MiddenCluster7.Harbert.2018.lpd,Midden,inferred,NA,NA,NA,Age,BP,NA
"[-116.0048, 34.1548, 573]",Temp12k1_0_1,MiddenCluster7.Harbert.2018.lpd,Midden,inferred,Mean annual temperature reconstruction,NA,Air Surface,temperature1,degC,1
"[-109.0977, 32.3106, 1339]",Temp12k1_0_1,MiddenCluster8.Harbert.2018.lpd,Midden,inferred,NA,NA,NA,Age,BP,NA
"[-109.0977, 32.3106, 1339]",Temp12k1_0_1,MiddenCluster8.Harbert.2018.lpd,Midden,inferred,Mean annual temperature reconstruction,NA,Air Surface,temperature1,degC,1
"[-115.5548, 31.6387, 782]",Temp12k1_0_1,MiddenCluster9.Harbert.2018.lpd,Midden,inferred,NA,NA,NA,Age,BP,NA
"[-115.5548, 31.6387, 782]",Temp12k1_0_1,MiddenCluster9.Harbert.2018.lpd,Midden,inferred,Mean annual temperature reconstruction,NA,Air Surface,temperature1,degC,1
"[7.02, 47.49, 491]",Temp12k1_0_1,MilandreCave.Affolter.2019.lpd,Speleothem,inferred,NA,NA,NA,Age,BP,NA
"[7.02, 47.49, 491]",Temp12k1_0_1,MilandreCave.Affolter.2019.lpd,Speleothem,inferred,NA,NA,Air Surface,Temperature,degC,1
"[7.02, 47.49, 491]",Temp12k1_0_1,MilandreCave.Affolter.2019.lpd,Speleothem,inferred,NA,NA,NA,tempError,degC,NA
"[175.37, -37.92, 60]",Temp12k1_0_1,Moanatuatua.Jara.2017.lpd,Peat,inferred,NA,NA,NA,Age,BP,NA
"[175.37, -37.92, 60]",Temp12k1_0_1,Moanatuatua.Jara.2017.lpd,Peat,inferred,Estimated MAT by cross-validation by average of 10 closest analogues,NA,Air Surface,Temperature,degC,1
"[-54.002, 68.4719, -519]",Temp12k1_0_1,MSM343300.Ouellet-Bernier.2014.lpd,MarineSediment,inferred,SST_Winter,NA,Sea Surface,Temperature,degC,1
"[-54.002, 68.4719, -519]",Temp12k1_0_1,MSM343300.Ouellet-Bernier.2014.lpd,MarineSediment,inferred,SST_summer,NA,Sea Surface,Temperature,degC,1
"[-54.002, 68.4719, -519]",Temp12k1_0_1,MSM343300.Ouellet-Bernier.2014.lpd,MarineSediment,inferred,SST_annual,NA,Sea Surface,Temperature,degC,1
"[-42.32, 75.1, 2925]",Temp12k1_0_1,NorthGRIP.Gkinis.2014.lpd,GlacierIce,inferred,NA,NA,NA,Age,BP,NA
"[-42.32, 75.1, 2925]",Temp12k1_0_1,NorthGRIP.Gkinis.2014.lpd,GlacierIce,inferred,200 years low pass filtered,NA,Air Surface,Temperature,degC,1
"[-42.32, 75.1, 2925]",Temp12k1_0_1,NorthGRIP.Gkinis.2014.lpd,GlacierIce,inferred,"2 sigma, upper confidence limit",NA,NA,uncertainty.temperature,NA,NA
"[-42.32, 75.1, 2925]",Temp12k1_0_1,NorthGRIP.Gkinis.2014.lpd,GlacierIce,inferred,NA,NA,NA,Temperature,degC,NA
"[-42.32, 75.1, 2925]",Temp12k1_0_1,NorthGRIP.Gkinis.2014.lpd,GlacierIce,inferred,NA,NA,NA,uncertainty.temperature,degC,NA
"[43, -84, 3330]",Temp12k1_0_1,PlateauRemote.MosleyThompson.1996.lpd,GlacierIce,inferred,NA,NA,NA,Age,BP,NA
"[43, -84, 3330]",Temp12k1_0_1,PlateauRemote.MosleyThompson.1996.lpd,GlacierIce,inferred,NA,NA,Air Condensation,D18O,permil,1
"[21.747, 44.7144, 390]",Temp12k1_0_1,PolevaCave.Constantin.2007.lpd,Speleothem,inferred,NA,NA,NA,Age,yr bo,NA
"[145.6703, -4.4939, -712]",Temp12k1_0_1,RR1313_23PC.MoffaSanchez.2019.lpd,MarineSediment,inferred,SST,NA,Sea Surface,Temperature,degC,1
"[88.3573, 48.1204, 2450]",Temp12k1_0_1,SaharaSandWetland.Rao.2019.lpd,Peat,inferred,NA,NA,NA,Age,BP,NA
"[-148.82, -81.65, 621]",Temp12k1_0_1,SipleDomeA.Das.2008.lpd,GlacierIce,inferred,NA,NA,NA,Age,BP,NA
"[57.347, 14.321, -3212]",Temp12k1_0_1,SO42_74KL.Huguet.2006.lpd,MarineSediment,inferred,SST_1_12_degC,NA,Na,Temperature,unitless,1
"[65.916, 24.833, -695]",Temp12k1_0_1,SO90_56KA.Doose-Rolinski.2001.lpd,MarineSediment,inferred,SST_1_12_degC,NA,Sea Surface,Temperature,degC,1
"[14.05, 66.44, 243]",Temp12k1_0_1,Svanavatnet.Bjune.2008.lpd,LakeSediment,inferred,NA,NA,Air Surface,Temperature,degC,1
"[159.18, -72.82, 2315]",Temp12k1_0_1,TALDICE.Mezgec.2017.lpd,GlacierIce,inferred,"age_calBP	age, , , calendar years before present, , , Dating Severi et al. 2012 CP, ,N,",NA,NA,Age,BP,NA
"[29.83, -6.72, 773]",Temp12k1_0_1,Tanganyika.Tierney.2008.lpd,LakeSediment,inferred,NA,NA,NA,Age,BP,NA
"[29.83, -6.72, 773]",Temp12k1_0_1,Tanganyika.Tierney.2008.lpd,LakeSediment,inferred,Composite of cores KH3 and KH4,NA,Lake Surface,Temperature,degC,1
"[6, -50, -3700]",Temp12k1_0_1,TN057-17.Nielsen.2004.lpd,MarineSediment,inferred,NA,NA,Sea Surface,Temperature,degC,1
"[6, -50, -3700]",Temp12k1_0_1,TN057-17.Nielsen.2004.lpd,MarineSediment,inferred,NA,NA,Sea Surface,Temperature,degC,1
"[6, -50, -3700]",Temp12k1_0_1,TN057-17.Nielsen.2004.lpd,MarineSediment,inferred,NA,NA,NA,Age,BP,NA
"[6, -50, -3700]",Temp12k1_0_1,TN057-17.Nielsen.2004.lpd,MarineSediment,inferred,NA,NA,Sea Surface,Temperature,degC,1
"[33.1983, -1.2317, 1133]",Temp12k1_0_1,Victoria.Berke.2012.lpd,LakeSediment,inferred,NA,NA,NA,Age,BP,NA
"[33.1983, -1.2317, 1133]",Temp12k1_0_1,Victoria.Berke.2012.lpd,LakeSediment,inferred,NA,NA,Lake Surface,Temperature,degC,1
"[-112.08, -79.4676, 1806]",Temp12k1_0_1,WAISDivide.Cuffey.2016.lpd,GlacierIce,inferred,NA,NA,NA,Age,BP,NA
"[-112.08, -79.4676, 1806]",Temp12k1_0_1,WAISDivide.Cuffey.2016.lpd,GlacierIce,inferred,NA,NA,Air Surface,Temperature,degC,1
"[-112.08, -79.4676, 1806]",Temp12k1_0_1,WAISDivide.Fegyveresi.2016.lpd,GlacierIce,inferred,NA,NA,NA,sampleID,unitless,NA
"[-112.08, -79.4676, 1806]",Temp12k1_0_1,WAISDivide.Fegyveresi.2016.lpd,GlacierIce,inferred,Centered Sample Age : WD2014 Time Scale (yr bf 1950 <c2><b1> <c2><bd> close-off sample integration time),NA,NA,Age,BP,NA
"[-112.08, -79.4676, 1806]",Temp12k1_0_1,WAISDivide.Fegyveresi.2016.lpd,GlacierIce,inferred,NA,NA,NA,ageUncertainty,yr,NA
"[-112.08, -79.4676, 1806]",Temp12k1_0_1,WAISDivide.Fegyveresi.2016.lpd,GlacierIce,inferred,Modeled Equivalent Temperatures (C),NA,Air Surface,Temperature,degC,1
"[-112.08, -79.4676, 1806]",Temp12k1_0_1,WAISDivide.Fegyveresi.2016.lpd,GlacierIce,inferred,NA,NA,NA,tempError,degC,NA
"[-80.7767, 34.168, 1.5]",Temp12k1_0_1,WhitePond.Krause.2019.lpd,LakeSediment,inferred,NA,NA,NA,Age,BP,NA
"[-80.7767, 34.168, 1.5]",Temp12k1_0_1,WhitePond.Krause.2019.lpd,LakeSediment,inferred,NA,NA,Soil Surface,soilTemp,degC,1
"[-80.7767, 34.168, 1.5]",Temp12k1_0_1,WhitePond.Krause.2019.lpd,LakeSediment,inferred,NA,NA,Air Surface,Temperature,degC,1
"[-80.7767, 34.168, 1.5]",Temp12k1_0_1,WhitePond.Krause.2019.lpd,LakeSediment,inferred,NA,NA,NA,pH,pH,NA
"[-159.2859, 3.9062, -11]",iso2k1_0_0,CO09NUTB.lpd,Coral,inferred,inferred seawater,D18O Seawater,Sea Surface,D18O,permil,1
"[-162.13, 5.87, -10]",iso2k1_0_0,CO11NUPM.lpd,Coral,inferred,inferred seawater,D18O Seawater,Sea Surface,D18O,permil,1
"[110.656, 19.287, -4]",iso2k1_0_0,CO13DESC01A.lpd,Coral,inferred,carbonate,D18O Seawater,Na,D18O,permil,1
"[172.7469, 3.0731, -5]",iso2k1_0_0,CO14CABT.lpd,Coral,inferred,inferred seawater,D18O Seawater,Sea Surface,D18O,permil,1
"[172.7469, 3.0731, -5]",iso2k1_0_0,CO14CABT.lpd,Coral,inferred,inferred seawater,D18O Seawater,Sea Surface,D18O,permil,1
