filename,archiveType,proxyObservationType,units,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
Arc-Jamtland.Wilson.2016.lpd,tree,Maximum Latewood Density,NA,NA,Air Surface,NA,NA
Arc-Kittelfjall.Bjorklund.2012.lpd,tree,Density,NA,NA,Air Surface,NA,NA
Arc-Kongressvatnet.DAndrea.2012.lpd,lake sediment,Uk37,NA,NA,NA,NA,NA
Arc-Laanila.Lindholm.2013.lpd,tree,Maximum Latewood Density,NaN,NA,Air Surface,NA,NA
Arc-Laanila.Lindholm.2013.lpd,tree,Tree Ring Width,NaN,NA,NA,NA,NA
Arc-Laanila.Lindholm.2013.lpd,tree,NA,NaN,NA,NA,NA,NA
Arc-LakeC2.Lamoureux.1996.lpd,lake sediment,Thickness,mm,NA,Air Surface,NA,NA
Arc-LakeDonardBaffinIsland.Moore.2001.lpd,lake sediment,Thickness,mm,NA,Air Surface,NA,NA
Arc-LakeLehmilampi.Haltia-Hovi.2007.lpd,lake sediment,Thickness,mm,NA,Air Surface,NA,NA
Arc-LakeNataujrvi.Ojala.2005.lpd,lake sediment,X_Radiograph_Dark_Layer,dark/sum,NA,Air Surface,NA,NA
Arc-LenaRiver.McDonald.1998.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Arc-Lomonosovfonna.Divine.2011.lpd,glacier ice,D18O,permil,NA,Air Surface,NA,NA
Arc-LowerMurrayLake.Cook.2008.lpd,lake sediment,Mass Flux,g/cm2a,NA,Air 600M,NA,NA
Arc-NGRIP1.Vinther.2006.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Arc-NGTB16.Schwager.1998.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Arc-NGTB18.Schwager.1998.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Arc-NGTB21.Schwager.1998.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Arc-PennyIceCapP96.Fisher.1998.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Arc-PennyIceCapP96.Okuyama.2003.lpd,glacier ice,Melt,percent,NA,Air Surface,NA,NA
Arc-PolarUrals.Wilson.2015.lpd,tree,Density,NA,NA,Air Surface,NA,NA
Arc-PrinceOfWales.Kinnard.2011.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Arc-Renland.Vinther.2008.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Arc-SoperLake.Hughen.2000.lpd,lake sediment,Thickness,mm,NA,NA,NA,NA
Arc-StoreggaSlide.Sejrup.2011.lpd,marine sediment,D18O,permil,NA,Sea Surface,NA,NA
Arc-Tjeggelvas.Bjorklund.2012.lpd,tree,Density,NA,NA,Air Surface,NA,NA
Arc-Tornetrask.Melvin.2012.lpd,tree,Density,count,NA,NA,NA,NA
Arc-WindyDome.Henderson.2011.lpd,glacier ice,Melt,percent,NA,Air Surface,NA,NA
Arc-WindyDome.Henderson.2011.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Arc-Yukon.DArrigo.2006.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-AltaiAktru.Cook.2005.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-AltaiDjasator.Cook.2011.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-AltaiJablonsky.Cook.2000.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-AltaiKorumdu.Cook.2005.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-AltaiKuraisky.Cook.2011.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-AltaiKuraiskySteppe.Cook.2011.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-AltaiSamakhaSteppe.Cook.2011.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-AltaiTjute.Cook.2011.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-AltaiUlaganValley.Cook.2011.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-AltaiUstUlaganLake.Cook.2005.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-BARELC.PAGES2k.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-BHUTSP.PAGES2k.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-BHUTTD.PAGES2k.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-BT001.Cook.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-BT002.Cook.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-BT003.Cook.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-BT004.Cook.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-BT005.Cook.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-BT006.Cook.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-BT008.Cook.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-BT009.Cook.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-BT010.Cook.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-BT011.Cook.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-BT018.Cook.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-BURGPW.PAGES2k.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CENTIB.PAGES2k.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN004.Wu.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN005.Sheppard.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN006.Sheppard.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
