archiveType,proxyObservationType,units,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
marine sediment,Depth,cm,NA,NA,NA,NA
marine sediment,D18O,per mil,Temperature,Sea Surface,Sea Surface Temperature,deg C
marine sediment,D18O,per mil,D18Osw,Sea Surface,Sea Surface D18Osw,permil
marine sediment,Mg/Ca,mmol/mol,Temperature,Sea Surface,Sea Surface Temperature,deg C
speleothem,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
speleothem,SE,degC,NA,NA,NA,NA
lake sediment,Core,NotApplicable,NA,NA,NA,NA
lake sediment,Depth,cm,NA,NA,NA,NA
lake sediment,TEX86,NA,Temperature,Lake Surface,Lake Surface Temperature,deg C
lake sediment,TEX86,degC,NA,NA,NA,NA
lake sediment,Upper95,degC,NA,NA,NA,NA
lake sediment,Lower95,degC,NA,NA,NA,NA
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
glacier ice,Dd,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
glacier ice,Dd,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
glacier ice,Dd,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
glacier ice,Dd,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
glacier ice,Dd,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
glacier ice,Dd,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
glacier ice,Dd,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
glacier ice,Depth,m,NA,NA,NA,NA
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
glacier ice,Dd,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
glacier ice,Thickness,mwe,NA,NA,NA,NA
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
glacier ice,Na,ng/g,Sea Ice,NA,NA,NA
tree,Density,NA,Temperature,Air Surface,Air Surface Temperature,deg C
tree,Blueintensity,NA,Temperature,Air Surface,Air Surface Temperature,deg C
tree,Density,NA,Temperature,Air Surface,Air Surface Temperature,deg C
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
tree,Trsgi,NA,Temperature,Air Surface,Air Surface Temperature,deg C
lake sediment,Layer Thickness,mm,Temperature,Air Surface,Air Surface Temperature,deg C
lake sediment,Layer Thickness,mm,Temperature,Air Surface,Air Surface Temperature,deg C
lake sediment,Thickness,cm,Temperature,Air Surface,Air Surface Temperature,deg C
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
