archiveType,proxyObservationType,units,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
speleothem,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
speleothem,SE,degC,NA,NA,NA,NA
lake sediment,Core,NotApplicable,NA,NA,NA,NA
lake sediment,Depth,cm,NA,NA,NA,NA
lake sediment,TEX86,NA,Temperature,Lake Surface,Lake Surface Temperature,degC
lake sediment,TEX86,degC,NA,NA,NA,NA
lake sediment,Upper95,degC,NA,NA,NA,NA
lake sediment,Lower95,degC,NA,NA,NA,NA
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
glacier ice,Dd,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
glacier ice,Dd,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
glacier ice,Dd,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
glacier ice,Dd,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
glacier ice,Dd,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
glacier ice,Dd,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
glacier ice,Dd,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
glacier ice,Depth,m,NA,NA,NA,NA
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
glacier ice,Dd,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
glacier ice,Thickness,mwe,NA,NA,NA,NA
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
glacier ice,Na,ng/g,Sea Ice,NA,NA,NA
tree,Density,NA,Temperature,Air Surface,Air Surface Temperature,degC
tree,Blueintensity,NA,Temperature,Air Surface,Air Surface Temperature,degC
tree,Density,NA,Temperature,Air Surface,Air Surface Temperature,degC
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
tree,Trsgi,NA,Temperature,Air Surface,Air Surface Temperature,degC
lake sediment,Layer Thickness,mm,Temperature,Air Surface,Air Surface Temperature,degC
lake sediment,Layer Thickness,mm,Temperature,Air Surface,Air Surface Temperature,degC
lake sediment,Thickness,cm,Temperature,Air Surface,Air Surface Temperature,degC
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
tree,MXD,NA,Temperature,Air Surface,Air Surface Temperature,degC
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
glacier ice,D18O,permil,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
lake sediment,Thickness,cm,NA,NA,NA,NA
lake sediment,Duration,AD,NA,NA,NA,NA
lake sediment,Bsi,mg/g,NA,NA,NA,NA
lake sediment,Thickness,cm,Temperature,Air Surface,Air Surface Temperature,degC
tree,Trsgi,NA,Temperature,Air Surface,Air Surface Temperature,degC
tree,MXD,NA,Temperature,Air Surface,Air Surface Temperature,degC
tree,Density,NA,Temperature,Air Surface,Air Surface Temperature,degC
lake sediment,Uk37,NA,NA,NA,NA,NA
tree,MXD,NaN,Temperature,Air Surface,Air Surface Temperature,degC
