coordinates,publication,filename,archiveType,variableType,description,proxyObservationType,units,rank,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
"[-114.2, 46.7, 2614]",PAGES2kv2,NAm-CarltonRidge.Kipfmuller.2008.lpd,tree,measured,NA,Residual,NA,NA,NA,NA,NA,NA
"[-114.2, 46.7, 2614]",PAGES2kv2,NAm-CarltonRidge.Kipfmuller.2008.lpd,tree,measured,NA,Arstan Chronology,NA,NA,NA,NA,NA,NA
"[-114.2, 46.7, 2614]",PAGES2kv2,NAm-CarltonRidge.Kipfmuller.2008.lpd,tree,measured,NA,Corrs,NA,NA,NA,NA,NA,NA
"[-114.2, 46.7, 2614]",PAGES2kv2,NAm-CarltonRidge.Kipfmuller.2008.lpd,tree,measured,NA,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA,NA
"[-114.2, 46.7, 2614]",PAGES2kv2,NAm-CarltonRidge.Kipfmuller.2008.lpd,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-114.2, 46.7, 2614]",PAGES2kv2,NAm-CarltonRidge.Kipfmuller.2008.lpd,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-114.2, 46.7, 2614]",PAGES2kv2,NAm-CarltonRidge.Kipfmuller.2008.lpd,tree,measured,NA,Expressed Population Signal,NA,NA,NA,NA,NA,NA
"[-114.2, 46.7, 2614]",PAGES2kv2,NAm-CarltonRidge.Kipfmuller.2008.lpd,tree,measured,NA,Core,NA,NA,NA,NA,NA,NA
"[-113.9, 37.6, 3120]",PAGES2kv2,NAm-CeaderBreaks.Briffa.1996.lpd,tree,measured,NA,Sample Count,count,NA,NA,NA,NA,NA
"[-113.9, 37.6, 3120]",PAGES2kv2,NAm-CeaderBreaks.Briffa.1996.lpd,tree,measured,NA,Segment,NA,NA,NA,NA,NA,NA
"[-113.9, 37.6, 3120]",PAGES2kv2,NAm-CeaderBreaks.Briffa.1996.lpd,tree,measured,NA,Tree Ring Width,cm,NA,NA,NA,NA,NA
"[-113.9, 37.6, 3120]",PAGES2kv2,NAm-CeaderBreaks.Briffa.1996.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,NA,NA,NA,NA,NA
"[-113.9, 37.6, 3120]",PAGES2kv2,NAm-CeaderBreaks.Briffa.1996.lpd,tree,measured,NA,Residual,NA,NA,NA,NA,NA,NA
"[-113.9, 37.6, 3120]",PAGES2kv2,NAm-CeaderBreaks.Briffa.1996.lpd,tree,measured,NA,Arstan Chronology,NA,NA,NA,NA,NA,NA
"[-113.9, 37.6, 3120]",PAGES2kv2,NAm-CeaderBreaks.Briffa.1996.lpd,tree,measured,NA,Corrs,NA,NA,NA,NA,NA,NA
"[-113.9, 37.6, 3120]",PAGES2kv2,NAm-CeaderBreaks.Briffa.1996.lpd,tree,measured,NA,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA,NA
"[-113.9, 37.6, 3120]",PAGES2kv2,NAm-CeaderBreaks.Briffa.1996.lpd,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-113.9, 37.6, 3120]",PAGES2kv2,NAm-CeaderBreaks.Briffa.1996.lpd,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-113.9, 37.6, 3120]",PAGES2kv2,NAm-CeaderBreaks.Briffa.1996.lpd,tree,measured,NA,Expressed Population Signal,NA,NA,NA,NA,NA,NA
"[-113.9, 37.6, 3120]",PAGES2kv2,NAm-CeaderBreaks.Briffa.1996.lpd,tree,measured,NA,Core,NA,NA,NA,NA,NA,NA
"[-106.3, 25.1, 2000]",PAGES2kv2,NAm-CienegadeNuestraSenoradeGuadalupe.Fule.2009.lpd,tree,measured,NA,Sample Count,count,NA,NA,NA,NA,NA
"[-106.3, 25.1, 2000]",PAGES2kv2,NAm-CienegadeNuestraSenoradeGuadalupe.Fule.2009.lpd,tree,measured,NA,Segment,NA,NA,NA,NA,NA,NA
"[-106.3, 25.1, 2000]",PAGES2kv2,NAm-CienegadeNuestraSenoradeGuadalupe.Fule.2009.lpd,tree,measured,NA,Tree Ring Width,cm,NA,NA,NA,NA,NA
"[-106.3, 25.1, 2000]",PAGES2kv2,NAm-CienegadeNuestraSenoradeGuadalupe.Fule.2009.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[-106.3, 25.1, 2000]",PAGES2kv2,NAm-CienegadeNuestraSenoradeGuadalupe.Fule.2009.lpd,tree,measured,NA,Residual,NA,NA,NA,NA,NA,NA
"[-106.3, 25.1, 2000]",PAGES2kv2,NAm-CienegadeNuestraSenoradeGuadalupe.Fule.2009.lpd,tree,measured,NA,Arstan Chronology,NA,NA,NA,NA,NA,NA
"[-106.3, 25.1, 2000]",PAGES2kv2,NAm-CienegadeNuestraSenoradeGuadalupe.Fule.2009.lpd,tree,measured,NA,Corrs,NA,NA,NA,NA,NA,NA
"[-106.3, 25.1, 2000]",PAGES2kv2,NAm-CienegadeNuestraSenoradeGuadalupe.Fule.2009.lpd,tree,measured,NA,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA,NA
"[-106.3, 25.1, 2000]",PAGES2kv2,NAm-CienegadeNuestraSenoradeGuadalupe.Fule.2009.lpd,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-106.3, 25.1, 2000]",PAGES2kv2,NAm-CienegadeNuestraSenoradeGuadalupe.Fule.2009.lpd,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-106.3, 25.1, 2000]",PAGES2kv2,NAm-CienegadeNuestraSenoradeGuadalupe.Fule.2009.lpd,tree,measured,NA,Expressed Population Signal,NA,NA,NA,NA,NA,NA
"[-106.3, 25.1, 2000]",PAGES2kv2,NAm-CienegadeNuestraSenoradeGuadalupe.Fule.2009.lpd,tree,measured,NA,Core,NA,NA,NA,NA,NA,NA
"[-118.2, 36.3, 3505]",PAGES2kv2,NAm-CirquePeak.Graybill.1995.lpd,tree,measured,NA,Sample Count,count,NA,NA,NA,NA,NA
"[-118.2, 36.3, 3505]",PAGES2kv2,NAm-CirquePeak.Graybill.1995.lpd,tree,measured,NA,Segment,NA,NA,NA,NA,NA,NA
"[-118.2, 36.3, 3505]",PAGES2kv2,NAm-CirquePeak.Graybill.1995.lpd,tree,measured,NA,Tree Ring Width,cm,NA,NA,NA,NA,NA
"[-118.2, 36.3, 3505]",PAGES2kv2,NAm-CirquePeak.Graybill.1995.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[-118.2, 36.3, 3505]",PAGES2kv2,NAm-CirquePeak.Graybill.1995.lpd,tree,measured,NA,Residual,NA,NA,NA,NA,NA,NA
"[-118.2, 36.3, 3505]",PAGES2kv2,NAm-CirquePeak.Graybill.1995.lpd,tree,measured,NA,Arstan Chronology,NA,NA,NA,NA,NA,NA
"[-118.2, 36.3, 3505]",PAGES2kv2,NAm-CirquePeak.Graybill.1995.lpd,tree,measured,NA,Corrs,NA,NA,NA,NA,NA,NA
"[-118.2, 36.3, 3505]",PAGES2kv2,NAm-CirquePeak.Graybill.1995.lpd,tree,measured,NA,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA,NA
"[-118.2, 36.3, 3505]",PAGES2kv2,NAm-CirquePeak.Graybill.1995.lpd,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-118.2, 36.3, 3505]",PAGES2kv2,NAm-CirquePeak.Graybill.1995.lpd,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-118.2, 36.3, 3505]",PAGES2kv2,NAm-CirquePeak.Graybill.1995.lpd,tree,measured,NA,Expressed Population Signal,NA,NA,NA,NA,NA,NA
"[-118.2, 36.3, 3505]",PAGES2kv2,NAm-CirquePeak.Graybill.1995.lpd,tree,measured,NA,Core,NA,NA,NA,NA,NA,NA
"[-115.9, 67.2, 213]",PAGES2kv2,NAm-CoppermineRiver.Jacoby.1989.lpd,tree,measured,NA,Sample Count,count,NA,NA,NA,NA,NA
"[-115.9, 67.2, 213]",PAGES2kv2,NAm-CoppermineRiver.Jacoby.1989.lpd,tree,measured,NA,Segment,NA,NA,NA,NA,NA,NA
"[-115.9, 67.2, 213]",PAGES2kv2,NAm-CoppermineRiver.Jacoby.1989.lpd,tree,measured,NA,Tree Ring Width,cm,NA,NA,NA,NA,NA
"[-115.9, 67.2, 213]",PAGES2kv2,NAm-CoppermineRiver.Jacoby.1989.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[-115.9, 67.2, 213]",PAGES2kv2,NAm-CoppermineRiver.Jacoby.1989.lpd,tree,measured,NA,Residual,NA,NA,NA,NA,NA,NA
"[-115.9, 67.2, 213]",PAGES2kv2,NAm-CoppermineRiver.Jacoby.1989.lpd,tree,measured,NA,Arstan Chronology,NA,NA,NA,NA,NA,NA
"[-115.9, 67.2, 213]",PAGES2kv2,NAm-CoppermineRiver.Jacoby.1989.lpd,tree,measured,NA,Corrs,NA,NA,NA,NA,NA,NA
"[-115.9, 67.2, 213]",PAGES2kv2,NAm-CoppermineRiver.Jacoby.1989.lpd,tree,measured,NA,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA,NA
"[-115.9, 67.2, 213]",PAGES2kv2,NAm-CoppermineRiver.Jacoby.1989.lpd,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-115.9, 67.2, 213]",PAGES2kv2,NAm-CoppermineRiver.Jacoby.1989.lpd,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-115.9, 67.2, 213]",PAGES2kv2,NAm-CoppermineRiver.Jacoby.1989.lpd,tree,measured,NA,Expressed Population Signal,NA,NA,NA,NA,NA,NA
"[-115.9, 67.2, 213]",PAGES2kv2,NAm-CoppermineRiver.Jacoby.1989.lpd,tree,measured,NA,Core,NA,NA,NA,NA,NA,NA
"[-121.5, 50.7, 1980]",PAGES2kv2,NAm-CornwallHills.Wilson.2005.lpd,tree,measured,NA,Sample Count,count,NA,NA,NA,NA,NA
"[-121.5, 50.7, 1980]",PAGES2kv2,NAm-CornwallHills.Wilson.2005.lpd,tree,measured,NA,Segment,NA,NA,NA,NA,NA,NA
"[-121.5, 50.7, 1980]",PAGES2kv2,NAm-CornwallHills.Wilson.2005.lpd,tree,measured,NA,Tree Ring Width,cm,NA,NA,NA,NA,NA
"[-121.5, 50.7, 1980]",PAGES2kv2,NAm-CornwallHills.Wilson.2005.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[-121.5, 50.7, 1980]",PAGES2kv2,NAm-CornwallHills.Wilson.2005.lpd,tree,measured,NA,Residual,NA,NA,NA,NA,NA,NA
"[-121.5, 50.7, 1980]",PAGES2kv2,NAm-CornwallHills.Wilson.2005.lpd,tree,measured,NA,Arstan Chronology,NA,NA,NA,NA,NA,NA
"[-121.5, 50.7, 1980]",PAGES2kv2,NAm-CornwallHills.Wilson.2005.lpd,tree,measured,NA,Corrs,NA,NA,NA,NA,NA,NA
"[-121.5, 50.7, 1980]",PAGES2kv2,NAm-CornwallHills.Wilson.2005.lpd,tree,measured,NA,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA,NA
"[-121.5, 50.7, 1980]",PAGES2kv2,NAm-CornwallHills.Wilson.2005.lpd,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-121.5, 50.7, 1980]",PAGES2kv2,NAm-CornwallHills.Wilson.2005.lpd,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-121.5, 50.7, 1980]",PAGES2kv2,NAm-CornwallHills.Wilson.2005.lpd,tree,measured,NA,Expressed Population Signal,NA,NA,NA,NA,NA,NA
"[-121.5, 50.7, 1980]",PAGES2kv2,NAm-CornwallHills.Wilson.2005.lpd,tree,measured,NA,Core,NA,NA,NA,NA,NA,NA
"[-107.6, 38.7, 3700]",PAGES2kv2,NAm-CottonwoodPass.Briffa.1996.lpd,tree,measured,NA,Sample Count,count,NA,NA,NA,NA,NA
"[-107.6, 38.7, 3700]",PAGES2kv2,NAm-CottonwoodPass.Briffa.1996.lpd,tree,measured,NA,Segment,NA,NA,NA,NA,NA,NA
"[-107.6, 38.7, 3700]",PAGES2kv2,NAm-CottonwoodPass.Briffa.1996.lpd,tree,measured,NA,Tree Ring Width,cm,NA,NA,NA,NA,NA
"[-107.6, 38.7, 3700]",PAGES2kv2,NAm-CottonwoodPass.Briffa.1996.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[-107.6, 38.7, 3700]",PAGES2kv2,NAm-CottonwoodPass.Briffa.1996.lpd,tree,measured,NA,Residual,NA,NA,NA,NA,NA,NA
"[-107.6, 38.7, 3700]",PAGES2kv2,NAm-CottonwoodPass.Briffa.1996.lpd,tree,measured,NA,Arstan Chronology,NA,NA,NA,NA,NA,NA
"[-107.6, 38.7, 3700]",PAGES2kv2,NAm-CottonwoodPass.Briffa.1996.lpd,tree,measured,NA,Corrs,NA,NA,NA,NA,NA,NA
"[-107.6, 38.7, 3700]",PAGES2kv2,NAm-CottonwoodPass.Briffa.1996.lpd,tree,measured,NA,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA,NA
"[-107.6, 38.7, 3700]",PAGES2kv2,NAm-CottonwoodPass.Briffa.1996.lpd,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-107.6, 38.7, 3700]",PAGES2kv2,NAm-CottonwoodPass.Briffa.1996.lpd,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-107.6, 38.7, 3700]",PAGES2kv2,NAm-CottonwoodPass.Briffa.1996.lpd,tree,measured,NA,Expressed Population Signal,NA,NA,NA,NA,NA,NA
"[-107.6, 38.7, 3700]",PAGES2kv2,NAm-CottonwoodPass.Briffa.1996.lpd,tree,measured,NA,Core,NA,NA,NA,NA,NA,NA
"[-122.2, 43, 2200]",PAGES2kv2,NAm-CraterLakeNE.Briffa.2002.lpd,tree,measured,NA,Sample Count,count,NA,NA,NA,NA,NA
"[-122.2, 43, 2200]",PAGES2kv2,NAm-CraterLakeNE.Briffa.2002.lpd,tree,measured,NA,Segment,NA,NA,NA,NA,NA,NA
"[-122.2, 43, 2200]",PAGES2kv2,NAm-CraterLakeNE.Briffa.2002.lpd,tree,measured,NA,Tree Ring Width,cm,NA,NA,NA,NA,NA
"[-122.2, 43, 2200]",PAGES2kv2,NAm-CraterLakeNE.Briffa.2002.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,NA,NA,NA,NA,NA
"[-122.2, 43, 2200]",PAGES2kv2,NAm-CraterLakeNE.Briffa.2002.lpd,tree,measured,NA,Residual,NA,NA,NA,NA,NA,NA
"[-122.2, 43, 2200]",PAGES2kv2,NAm-CraterLakeNE.Briffa.2002.lpd,tree,measured,NA,Arstan Chronology,NA,NA,NA,NA,NA,NA
"[-122.2, 43, 2200]",PAGES2kv2,NAm-CraterLakeNE.Briffa.2002.lpd,tree,measured,NA,Corrs,NA,NA,NA,NA,NA,NA
"[-122.2, 43, 2200]",PAGES2kv2,NAm-CraterLakeNE.Briffa.2002.lpd,tree,measured,NA,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA,NA
"[-122.2, 43, 2200]",PAGES2kv2,NAm-CraterLakeNE.Briffa.2002.lpd,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-122.2, 43, 2200]",PAGES2kv2,NAm-CraterLakeNE.Briffa.2002.lpd,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-122.2, 43, 2200]",PAGES2kv2,NAm-CraterLakeNE.Briffa.2002.lpd,tree,measured,NA,Expressed Population Signal,NA,NA,NA,NA,NA,NA
"[-122.2, 43, 2200]",PAGES2kv2,NAm-CraterLakeNE.Briffa.2002.lpd,tree,measured,NA,Core,NA,NA,NA,NA,NA,NA
"[-119.2, 37.9, 3300]",PAGES2kv2,NAm-DanaPlateauInyoNationalForest.King.2000.lpd,tree,measured,NA,Sample Count,count,NA,NA,NA,NA,NA
"[-119.2, 37.9, 3300]",PAGES2kv2,NAm-DanaPlateauInyoNationalForest.King.2000.lpd,tree,measured,NA,Segment,NA,NA,NA,NA,NA,NA
"[-119.2, 37.9, 3300]",PAGES2kv2,NAm-DanaPlateauInyoNationalForest.King.2000.lpd,tree,measured,NA,Tree Ring Width,cm,NA,NA,NA,NA,NA
"[-119.2, 37.9, 3300]",PAGES2kv2,NAm-DanaPlateauInyoNationalForest.King.2000.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[-119.2, 37.9, 3300]",PAGES2kv2,NAm-DanaPlateauInyoNationalForest.King.2000.lpd,tree,measured,NA,Residual,NA,NA,NA,NA,NA,NA
"[-119.2, 37.9, 3300]",PAGES2kv2,NAm-DanaPlateauInyoNationalForest.King.2000.lpd,tree,measured,NA,Arstan Chronology,NA,NA,NA,NA,NA,NA
"[-119.2, 37.9, 3300]",PAGES2kv2,NAm-DanaPlateauInyoNationalForest.King.2000.lpd,tree,measured,NA,Corrs,NA,NA,NA,NA,NA,NA
"[-119.2, 37.9, 3300]",PAGES2kv2,NAm-DanaPlateauInyoNationalForest.King.2000.lpd,tree,measured,NA,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA,NA
"[-119.2, 37.9, 3300]",PAGES2kv2,NAm-DanaPlateauInyoNationalForest.King.2000.lpd,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-119.2, 37.9, 3300]",PAGES2kv2,NAm-DanaPlateauInyoNationalForest.King.2000.lpd,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-119.2, 37.9, 3300]",PAGES2kv2,NAm-DanaPlateauInyoNationalForest.King.2000.lpd,tree,measured,NA,Expressed Population Signal,NA,NA,NA,NA,NA,NA
"[-119.2, 37.9, 3300]",PAGES2kv2,NAm-DanaPlateauInyoNationalForest.King.2000.lpd,tree,measured,NA,Core,NA,NA,NA,NA,NA,NA
"[-131.6, 55.3, 815]",PAGES2kv2,NAm-DeerMountain.Wiles.2011.lpd,tree,measured,NA,Sample Count,count,NA,NA,NA,NA,NA
"[-131.6, 55.3, 815]",PAGES2kv2,NAm-DeerMountain.Wiles.2011.lpd,tree,measured,NA,Segment,NA,NA,NA,NA,NA,NA
"[-131.6, 55.3, 815]",PAGES2kv2,NAm-DeerMountain.Wiles.2011.lpd,tree,measured,NA,Tree Ring Width,cm,NA,NA,NA,NA,NA
"[-131.6, 55.3, 815]",PAGES2kv2,NAm-DeerMountain.Wiles.2011.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[-131.6, 55.3, 815]",PAGES2kv2,NAm-DeerMountain.Wiles.2011.lpd,tree,measured,NA,Residual,NA,NA,NA,NA,NA,NA
"[-131.6, 55.3, 815]",PAGES2kv2,NAm-DeerMountain.Wiles.2011.lpd,tree,measured,NA,Arstan Chronology,NA,NA,NA,NA,NA,NA
"[-131.6, 55.3, 815]",PAGES2kv2,NAm-DeerMountain.Wiles.2011.lpd,tree,measured,NA,Corrs,NA,NA,NA,NA,NA,NA
"[-131.6, 55.3, 815]",PAGES2kv2,NAm-DeerMountain.Wiles.2011.lpd,tree,measured,NA,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA,NA
"[-131.6, 55.3, 815]",PAGES2kv2,NAm-DeerMountain.Wiles.2011.lpd,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-131.6, 55.3, 815]",PAGES2kv2,NAm-DeerMountain.Wiles.2011.lpd,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-131.6, 55.3, 815]",PAGES2kv2,NAm-DeerMountain.Wiles.2011.lpd,tree,measured,NA,Expressed Population Signal,NA,NA,NA,NA,NA,NA
"[-131.6, 55.3, 815]",PAGES2kv2,NAm-DeerMountain.Wiles.2011.lpd,tree,measured,NA,Core,NA,NA,NA,NA,NA,NA
"[-149.6, 63.7, 750]",PAGES2kv2,NAm-DenaliNationalPark.Schweingruber.1996.lpd,tree,measured,NA,Sample Count,count,NA,NA,NA,NA,NA
"[-149.6, 63.7, 750]",PAGES2kv2,NAm-DenaliNationalPark.Schweingruber.1996.lpd,tree,measured,NA,Segment,NA,NA,NA,NA,NA,NA
"[-149.6, 63.7, 750]",PAGES2kv2,NAm-DenaliNationalPark.Schweingruber.1996.lpd,tree,measured,NA,Tree Ring Width,cm,NA,NA,NA,NA,NA
"[-149.6, 63.7, 750]",PAGES2kv2,NAm-DenaliNationalPark.Schweingruber.1996.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,NA,NA,NA,NA,NA
"[-149.6, 63.7, 750]",PAGES2kv2,NAm-DenaliNationalPark.Schweingruber.1996.lpd,tree,measured,NA,Residual,NA,NA,NA,NA,NA,NA
"[-149.6, 63.7, 750]",PAGES2kv2,NAm-DenaliNationalPark.Schweingruber.1996.lpd,tree,measured,NA,Arstan Chronology,NA,NA,NA,NA,NA,NA
"[-149.6, 63.7, 750]",PAGES2kv2,NAm-DenaliNationalPark.Schweingruber.1996.lpd,tree,measured,NA,Corrs,NA,NA,NA,NA,NA,NA
"[-149.6, 63.7, 750]",PAGES2kv2,NAm-DenaliNationalPark.Schweingruber.1996.lpd,tree,measured,NA,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA,NA
"[-149.6, 63.7, 750]",PAGES2kv2,NAm-DenaliNationalPark.Schweingruber.1996.lpd,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-149.6, 63.7, 750]",PAGES2kv2,NAm-DenaliNationalPark.Schweingruber.1996.lpd,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-149.6, 63.7, 750]",PAGES2kv2,NAm-DenaliNationalPark.Schweingruber.1996.lpd,tree,measured,NA,Expressed Population Signal,NA,NA,NA,NA,NA,NA
"[-149.6, 63.7, 750]",PAGES2kv2,NAm-DenaliNationalPark.Schweingruber.1996.lpd,tree,measured,NA,Core,NA,NA,NA,NA,NA,NA
"[-139.7, 61.7, 750]",PAGES2kv2,NAm-DonJekRiverBridge.Schweingruber.1996.lpd,tree,measured,NA,Sample Count,count,NA,NA,NA,NA,NA
"[-139.7, 61.7, 750]",PAGES2kv2,NAm-DonJekRiverBridge.Schweingruber.1996.lpd,tree,measured,NA,Segment,NA,NA,NA,NA,NA,NA
"[-139.7, 61.7, 750]",PAGES2kv2,NAm-DonJekRiverBridge.Schweingruber.1996.lpd,tree,measured,NA,Tree Ring Width,cm,NA,NA,NA,NA,NA
"[-139.7, 61.7, 750]",PAGES2kv2,NAm-DonJekRiverBridge.Schweingruber.1996.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,NA,NA,NA,NA,NA
"[-139.7, 61.7, 750]",PAGES2kv2,NAm-DonJekRiverBridge.Schweingruber.1996.lpd,tree,measured,NA,Residual,NA,NA,NA,NA,NA,NA
"[-139.7, 61.7, 750]",PAGES2kv2,NAm-DonJekRiverBridge.Schweingruber.1996.lpd,tree,measured,NA,Arstan Chronology,NA,NA,NA,NA,NA,NA
"[-139.7, 61.7, 750]",PAGES2kv2,NAm-DonJekRiverBridge.Schweingruber.1996.lpd,tree,measured,NA,Corrs,NA,NA,NA,NA,NA,NA
"[-139.7, 61.7, 750]",PAGES2kv2,NAm-DonJekRiverBridge.Schweingruber.1996.lpd,tree,measured,NA,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA,NA
"[-139.7, 61.7, 750]",PAGES2kv2,NAm-DonJekRiverBridge.Schweingruber.1996.lpd,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-139.7, 61.7, 750]",PAGES2kv2,NAm-DonJekRiverBridge.Schweingruber.1996.lpd,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-139.7, 61.7, 750]",PAGES2kv2,NAm-DonJekRiverBridge.Schweingruber.1996.lpd,tree,measured,NA,Expressed Population Signal,NA,NA,NA,NA,NA,NA
"[-139.7, 61.7, 750]",PAGES2kv2,NAm-DonJekRiverBridge.Schweingruber.1996.lpd,tree,measured,NA,Core,NA,NA,NA,NA,NA,NA
"[-127.8, 69.5, 500]",PAGES2kv2,NAm-EagleFecalPtarmiganMerge.Jacoby.2011.lpd,tree,measured,NA,Sample Count,count,NA,NA,NA,NA,NA
"[-127.8, 69.5, 500]",PAGES2kv2,NAm-EagleFecalPtarmiganMerge.Jacoby.2011.lpd,tree,measured,NA,Segment,NA,NA,NA,NA,NA,NA
"[-127.8, 69.5, 500]",PAGES2kv2,NAm-EagleFecalPtarmiganMerge.Jacoby.2011.lpd,tree,measured,NA,Tree Ring Width,cm,NA,NA,NA,NA,NA
"[-127.8, 69.5, 500]",PAGES2kv2,NAm-EagleFecalPtarmiganMerge.Jacoby.2011.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,NA,NA,NA,NA,NA
"[-127.8, 69.5, 500]",PAGES2kv2,NAm-EagleFecalPtarmiganMerge.Jacoby.2011.lpd,tree,measured,NA,Residual,NA,NA,NA,NA,NA,NA
"[-127.8, 69.5, 500]",PAGES2kv2,NAm-EagleFecalPtarmiganMerge.Jacoby.2011.lpd,tree,measured,NA,Arstan Chronology,NA,NA,NA,NA,NA,NA
"[-127.8, 69.5, 500]",PAGES2kv2,NAm-EagleFecalPtarmiganMerge.Jacoby.2011.lpd,tree,measured,NA,Corrs,NA,NA,NA,NA,NA,NA
"[-127.8, 69.5, 500]",PAGES2kv2,NAm-EagleFecalPtarmiganMerge.Jacoby.2011.lpd,tree,measured,NA,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA,NA
"[-127.8, 69.5, 500]",PAGES2kv2,NAm-EagleFecalPtarmiganMerge.Jacoby.2011.lpd,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-127.8, 69.5, 500]",PAGES2kv2,NAm-EagleFecalPtarmiganMerge.Jacoby.2011.lpd,tree,measured,NA,NA,NA,NA,NA,NA,NA,NA
"[-127.8, 69.5, 500]",PAGES2kv2,NAm-EagleFecalPtarmiganMerge.Jacoby.2011.lpd,tree,measured,NA,Expressed Population Signal,NA,NA,NA,NA,NA,NA
"[-127.8, 69.5, 500]",PAGES2kv2,NAm-EagleFecalPtarmiganMerge.Jacoby.2011.lpd,tree,measured,NA,Core,NA,NA,NA,NA,NA,NA
"[-70.8, 44.8, 930]",PAGES2kv2,NAm-ElephantMountain.Conkey.1994.lpd,tree,measured,NA,Sample Count,count,NA,NA,NA,NA,NA
"[-70.8, 44.8, 930]",PAGES2kv2,NAm-ElephantMountain.Conkey.1994.lpd,tree,measured,NA,Segment,NA,NA,NA,NA,NA,NA
"[-70.8, 44.8, 930]",PAGES2kv2,NAm-ElephantMountain.Conkey.1994.lpd,tree,measured,NA,Tree Ring Width,cm,NA,NA,NA,NA,NA
"[-70.8, 44.8, 930]",PAGES2kv2,NAm-ElephantMountain.Conkey.1994.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,NA,NA,NA,NA,NA
"[-70.8, 44.8, 930]",PAGES2kv2,NAm-ElephantMountain.Conkey.1994.lpd,tree,measured,NA,Residual,NA,NA,NA,NA,NA,NA
"[-70.8, 44.8, 930]",PAGES2kv2,NAm-ElephantMountain.Conkey.1994.lpd,tree,measured,NA,Arstan Chronology,NA,NA,NA,NA,NA,NA
"[-70.8, 44.8, 930]",PAGES2kv2,NAm-ElephantMountain.Conkey.1994.lpd,tree,measured,NA,Corrs,NA,NA,NA,NA,NA,NA
"[-70.8, 44.8, 930]",PAGES2kv2,NAm-ElephantMountain.Conkey.1994.lpd,tree,measured,NA,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA,NA
