coordinates,publication,filename,archiveType,variableType,description,proxyObservationType,units,rank,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
"[94.82, 80.52, 750]",PAGES2kv2,Arc-AkademiiNaukIceCap.Opel.2013.lpd,glacier ice,measured,annual layer thickness,Thickness,mwe,NA,NA,NA,NA,NA
"[94.82, 80.52, 750]",PAGES2kv2,Arc-AkademiiNaukIceCap.Opel.2013.lpd,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[94.82, 80.52, 750]",PAGES2kv2,Arc-AkademiiNaukIceCap.Opel.2013.lpd,glacier ice,measured,sodium ion concentrations,Na,ng/g,1,NA,NA,NA,NA
"[18.2, 66.3, 800]",PAGES2kv2,Arc-Arjeplog.Bjorklund.2014.lpd,tree,measured,NA,Density,NA,1,NA,Air Surface,NA,NA
"[18.2, 66.3, 800]",PAGES2kv2,Arc-Arjeplog.Bjorklund.2014.lpd,tree,measured,Delta Blue Intensity,Blue Intensity,NA,1,NA,Air Surface,NA,NA
"[16.1, 65.9, 500]",PAGES2kv2,Arc-Armarnaes.Bjorklund.2012.lpd,tree,measured,NA,Density,NA,1,NA,Air Surface,NA,NA
"[24.02, 79.83, 750]",PAGES2kv2,Arc-Austfonna.Isaksson.2005.lpd,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[101, 72, 250]",PAGES2kv2,Arc-Avam-Taimyr.Briffa.2008.lpd,tree,measured,ring width index,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[-68.83, 69.87, 180]",PAGES2kv2,Arc-BigRoundLake.Thomas.2009.lpd,lake sediment,measured,residual varve thickness (varve thickness with sand layers removed),Layer Thickness,mm,2,NA,Air Surface,NA,NA
"[-68.83, 69.87, 180]",PAGES2kv2,Arc-BigRoundLake.Thomas.2009.lpd,lake sediment,measured,residual varve thickness (varve thickness with sand layers removed),Layer Thickness,mm,2,NA,Air Surface,NA,NA
"[-150.47, 68.09, 1275]",PAGES2kv2,Arc-BlueLake.Bird.2008.lpd,lake sediment,measured,NA,Thickness,cm,1,NA,Air Surface,NA,NA
"[-61.13, 77.17, 1880]",PAGES2kv2,Arc-CampCentury.Fisher.1969.lpd,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[-37.32, 71.12, 3172]",PAGES2kv2,Arc-Crete.Vinther.2010.lpd,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[-82.5, 75.33, 1800]",PAGES2kv2,Arc-DevonIceCap.Fisher.1983.lpd,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[-43.83, 65.18, 2480]",PAGES2kv2,Arc-Dye.Vinther.2010.lpd,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[15.73, 68.73, 200]",PAGES2kv2,Arc-Forfjorddalen.McCarroll.2013.lpd,tree,measured,Density index,Maximum Latewood Density,NA,1,NA,Air Surface,NA,NA
"[-38.08, 72.1, 3200]",PAGES2kv2,Arc-GISP2.Grootes.1997.lpd,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[-37.64, 72.58, 3238]",PAGES2kv2,Arc-GRIP.Vinther.2010.lpd,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[-146.2, 61.5, 1128]",PAGES2kv2,Arc-HalletLake.McKay.2008.lpd,lake sediment,measured,thickness,Thickness,cm,NA,NA,NA,NA,NA
"[-146.2, 61.5, 1128]",PAGES2kv2,Arc-HalletLake.McKay.2008.lpd,lake sediment,measured,sample span,Duration,AD,NA,NA,NA,NA,NA
"[-146.2, 61.5, 1128]",PAGES2kv2,Arc-HalletLake.McKay.2008.lpd,lake sediment,measured,Biogenic silica,Biogenic Silica,mg/g,NA,NA,NA,NA,NA
"[-19.8, 64.6, 422]",PAGES2kv2,Arc-Hvtrvatn.Larsen.2011.lpd,lake sediment,measured,NA,Thickness,cm,1,NA,Air Surface,NA,NA
"[147, 69.5, 80]",PAGES2kv2,Arc-Indigirka.Hughes.1999.lpd,tree,measured,ring width index,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[13.3375, 63.2475, 650]",PAGES2kv2,Arc-Jamtland.Wilson.2016.lpd,tree,measured,tree-ring maximum latewood density,Maximum Latewood Density,NA,1,NA,Air Surface,NA,NA
"[15.5, 65.2, 550]",PAGES2kv2,Arc-Kittelfjall.Bjorklund.2012.lpd,tree,measured,NA,Density,NA,1,NA,Air Surface,NA,NA
"[13.9311, 78.0217, 94]",PAGES2kv2,Arc-Kongressvatnet.DAndrea.2012.lpd,lake sediment,measured,depth,Uk37,NA,NA,NA,NA,NA,NA
"[27.33333333, 68.49166667, 265]",PAGES2kv2,Arc-Laanila.Lindholm.2013.lpd,tree,measured,NA,Maximum Latewood Density,NaN,1,NA,Air Surface,NA,NA
"[27.33333333, 68.49166667, 265]",PAGES2kv2,Arc-Laanila.Lindholm.2013.lpd,tree,measured,NA,Tree Ring Width,NaN,NA,NA,NA,NA,NA
"[27.33333333, 68.49166667, 265]",PAGES2kv2,Arc-Laanila.Lindholm.2013.lpd,tree,measured,NA,NA,NaN,NA,NA,NA,NA,NA
"[-77.9, 82.83, 1.5]",PAGES2kv2,Arc-LakeC2.Lamoureux.1996.lpd,lake sediment,measured,NA,Thickness,mm,1,NA,Air Surface,NA,NA
"[-61.35, 66.73, 500]",PAGES2kv2,Arc-LakeDonardBaffinIsland.Moore.2001.lpd,lake sediment,measured,NA,Thickness,mm,1,NA,Air Surface,NA,NA
"[29.1, 63.62, 95]",PAGES2kv2,Arc-LakeLehmilampi.Haltia-Hovi.2007.lpd,lake sediment,measured,NA,Thickness,mm,1,NA,Air Surface,NA,NA
"[24.68, 61.81, 103.7]",PAGES2kv2,Arc-LakeNataujrvi.Ojala.2005.lpd,lake sediment,measured,NA,X_Radiograph_Dark_Layer,dark/sum,1,NA,Air Surface,NA,NA
"[125.87, 70.67, 180]",PAGES2kv2,Arc-LenaRiver.McDonald.1998.lpd,tree,measured,ring width index,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[17.425, 78.8647, 1250]",PAGES2kv2,Arc-Lomonosovfonna.Divine.2011.lpd,glacier ice,measured,interpolated delta 18O,D18O,permil,1,NA,Air Surface,NA,NA
"[-69.53, 81.35, 106]",PAGES2kv2,Arc-LowerMurrayLake.Cook.2008.lpd,lake sediment,measured,mass flux,Mass Flux,g/cm2a,1,NA,Air 600M,NA,NA
"[-42.32, 75.1, 2917]",PAGES2kv2,Arc-NGRIP1.Vinther.2006.lpd,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[-37.63, 73.94, 3040]",PAGES2kv2,Arc-NGTB16.Schwager.1998.lpd,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[-36.4, 76.62, 2508]",PAGES2kv2,Arc-NGTB18.Schwager.1998.lpd,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[-41.14, 80, 2185]",PAGES2kv2,Arc-NGTB21.Schwager.1998.lpd,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[-66.75, 67.25, 1810]",PAGES2kv2,Arc-PennyIceCapP96.Fisher.1998.lpd,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[-65.75, 67.25, 1810]",PAGES2kv2,Arc-PennyIceCapP96.Okuyama.2003.lpd,glacier ice,measured,melt feature percentages,Melt,percent,1,NA,Air Surface,NA,NA
"[65.6, 66.9, 250]",PAGES2kv2,Arc-PolarUrals.Wilson.2015.lpd,tree,measured,Late wood density,Density,NA,1,NA,Air Surface,NA,NA
"[-80.4, 78.4, 2030]",PAGES2kv2,Arc-PrinceOfWales.Kinnard.2011.lpd,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[-26.73, 71.27, 2350]",PAGES2kv2,Arc-Renland.Vinther.2008.lpd,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[-69.883, 62.917, 14]",PAGES2kv2,Arc-SoperLake.Hughen.2000.lpd,lake sediment,measured,Varve Thickness,Thickness,mm,1,NA,NA,NA,NA
"[5.26, 63.76, -875]",PAGES2kv2,Arc-StoreggaSlide.Sejrup.2011.lpd,marine sediment,measured,NA,D18O,permil,1,NA,Sea Surface,NA,NA
"[17.6, 66.6, 520]",PAGES2kv2,Arc-Tjeggelvas.Bjorklund.2012.lpd,tree,measured,NA,Density,NA,1,NA,Air Surface,NA,NA
"[19.6, 68.26, 320]",PAGES2kv2,Arc-Tornetrask.Melvin.2012.lpd,tree,measured,NA,Density,count,NA,NA,NA,NA,NA
"[65.63, 80.783, 509]",PAGES2kv2,Arc-WindyDome.Henderson.2011.lpd,glacier ice,measured,percentage of melt layer,Melt,percent,1,NA,Air Surface,NA,NA
"[65.63, 80.783, 509]",PAGES2kv2,Arc-WindyDome.Henderson.2011.lpd,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[-140.7, 67.9, 300]",PAGES2kv2,Arc-Yukon.DArrigo.2006.lpd,tree,measured,ring width index,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[87.77, 50.08, 2150]",PAGES2kv2,Asi-AltaiAktru.Cook.2005.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[88.1, 49.62, 2100]",PAGES2kv2,Asi-AltaiDjasator.Cook.2011.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[85.23, 50.87, 1450]",PAGES2kv2,Asi-AltaiJablonsky.Cook.2000.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[87.72, 50.14, 2200]",PAGES2kv2,Asi-AltaiKorumdu.Cook.2005.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[87.83, 50.3, 2000]",PAGES2kv2,Asi-AltaiKuraisky.Cook.2011.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[87.83, 50.27, 1650]",PAGES2kv2,Asi-AltaiKuraiskySteppe.Cook.2011.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[87.28, 49.72, 1550]",PAGES2kv2,Asi-AltaiSamakhaSteppe.Cook.2011.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[87.92, 50.12, 1700]",PAGES2kv2,Asi-AltaiTjute.Cook.2011.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[87.97, 50.68, 1300]",PAGES2kv2,Asi-AltaiUlaganValley.Cook.2011.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[87.67, 50.48, 2150]",PAGES2kv2,Asi-AltaiUstUlaganLake.Cook.2005.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[107.8, 33.75, 2700]",PAGES2kv2,Asi-BARELC.PAGES2k.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[90, 27.45, 1300]",PAGES2kv2,Asi-BHUTSP.PAGES2k.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[90.72, 27.67, 1650]",PAGES2kv2,Asi-BHUTTD.PAGES2k.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[90.65, 27.58, 2150]",PAGES2kv2,Asi-BT001.Cook.2010.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[90.73, 27.67, 2100]",PAGES2kv2,Asi-BT002.Cook.2010.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[90.77, 27.7, 1450]",PAGES2kv2,Asi-BT003.Cook.2010.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[90.68, 27.7, 2000]",PAGES2kv2,Asi-BT004.Cook.2010.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[90.15, 27.45, 2150]",PAGES2kv2,Asi-BT005.Cook.2010.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[90.13, 27.63, 1550]",PAGES2kv2,Asi-BT006.Cook.2010.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[90.65, 27.58, 2200]",PAGES2kv2,Asi-BT008.Cook.2010.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[90.97, 27.42, 1700]",PAGES2kv2,Asi-BT009.Cook.2010.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[89.38, 27.25, 2150]",PAGES2kv2,Asi-BT010.Cook.2010.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[90.15, 27.45, 2150]",PAGES2kv2,Asi-BT011.Cook.2010.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[89.75, 27.95, 2150]",PAGES2kv2,Asi-BT018.Cook.2010.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
