archiveType,proxyObservationType,units,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
Wood,D18O,permil,NA,Surface,NA,NA
MarineSediment,D13C,permil,NA,NA,Temperature,degC
Wood,Tree Ring Width,cm,NA,NA,NA,NA
GlacierIce,D18O,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
LakeSediment,Dd,permil,NA,NA,NA,NA
MarineSediment,D18O,permil PDB,NA,NA,NA,NA
GlacierIce,D18O,permil,NA,Air Surface,NA,NA
GlacierIce,D18O,permil,NA,Air Surface,NA,NA
MarineSediment,NA,cm,NA,NA,NA,NA
MarineSediment,D18O,permil PDB,NA,NA,NA,NA
Wood,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
MarineSediment,D18O,permil,Seawater Isotope,NA,NA,NA
Coral,Sr/Ca,mmol/mol,NA,Sea Surface,NA,NA
Wood,NA,NA,NA,NA,NA,NA
LakeSediment,D18O,permil,Precipitation And Evaporation,Lake Water,Precipitation And Evaporation,NA
MarineSediment,D18O,permil,NA,NA,Temperature,degC
LakeSediment,BIT,unitless,NA,NA,Temperature,degC
Wood,Sample Count,count,NA,NA,NA,NA
TerrestrialSediment,Dd,permil,NA,NA,NA,NA
Wood,NA,NA,NA,NA,NA,NA
MarineSediment,D18O,permil PDB,NA,NA,NA,NA
Wood,Residual,NA,NA,NA,NA,NA
Wood,NA,NA,NA,NA,NA,NA
MarineSediment,D18O,permil,Water Temperature,Subsurface  300 400M ,D18O,permil
MarineSediment,Total Organic Carbon,percent,NA,NA,NA,NA
Wood,D18O,permil,NA,NA,NA,NA
Wood,Tree Ring Width,cm,NA,NA,NA,NA
LakeSediment,NA,cm,NA,NA,NA,NA
Wood,Segment,NA,NA,NA,NA,NA
Wood,Sample Count,count,NA,NA,NA,NA
Wood,D18O,permil,NA,NA,NA,NA
MarineSediment,D13C,permil,NA,NA,Temperature,degC
Wood,Residual,NA,NA,NA,NA,NA
MarineSediment,D18O,permil PDB,NA,NA,NA,NA
LakeSediment,D18O,permil,Air Temperature,NA,NA,NA
Speleothem,D18O,permil,Precipitation Isotope,NA,NA,NA
Coral,Calcification,g/cm/yr,NA,NA,NA,NA
MarineSediment,Ice-Rafted Debris,no/g,NA,NA,NA,NA
MarineSediment,Foraminifera Abundance,percent,NA,NA,NA,NA
