filename,archiveType,variableType,proxyObservationType,units,rank,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
NAm-CornwallHills.Wilson.2005.lpd,tree,measured,Corrs,NA,NA,NA,NA,NA,NA
NAm-CornwallHills.Wilson.2005.lpd,tree,measured,Rbar,NA,NA,NA,NA,NA,NA
NAm-CornwallHills.Wilson.2005.lpd,tree,measured,SD,NA,NA,NA,NA,NA,NA
NAm-CornwallHills.Wilson.2005.lpd,tree,measured,SE,NA,NA,NA,NA,NA,NA
NAm-CornwallHills.Wilson.2005.lpd,tree,measured,EPS,NA,NA,NA,NA,NA,NA
NAm-CornwallHills.Wilson.2005.lpd,tree,measured,Core,NA,NA,NA,NA,NA,NA
Asi-UKHTRW.Schweingruber.2002.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
Asi-YKCOM.Yasue.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
Ocn-PalauRockIslands.Osborne.2014.lpd,coral,measured,D18O,permil,1,Temperature,Sea Surface,Sea Surface Temperature,deg C
Ocn-PalauRockIslands.Osborne.2014.lpd,coral,measured,D13C,permil,NA,NA,NA,NA,NA
NAm-MtStHelens.Briffa.1996.lpd,tree,measured,Samplecount,count,NA,NA,NA,NA,NA
NAm-MtStHelens.Briffa.1996.lpd,tree,measured,Segment,NA,NA,NA,NA,NA,NA
NAm-MtStHelens.Briffa.1996.lpd,tree,measured,Ringwidth,cm,NA,NA,NA,NA,NA
NAm-MtStHelens.Briffa.1996.lpd,tree,measured,Trsgi,NA,NA,NA,NA,NA,NA
NAm-MtStHelens.Briffa.1996.lpd,tree,measured,Residual,NA,NA,NA,NA,NA,NA
NAm-MtStHelens.Briffa.1996.lpd,tree,measured,ARS,NA,NA,NA,NA,NA,NA
NAm-MtStHelens.Briffa.1996.lpd,tree,measured,Corrs,NA,NA,NA,NA,NA,NA
NAm-MtStHelens.Briffa.1996.lpd,tree,measured,Rbar,NA,NA,NA,NA,NA,NA
NAm-MtStHelens.Briffa.1996.lpd,tree,measured,SD,NA,NA,NA,NA,NA,NA
NAm-MtStHelens.Briffa.1996.lpd,tree,measured,SE,NA,NA,NA,NA,NA,NA
NAm-MtStHelens.Briffa.1996.lpd,tree,measured,EPS,NA,NA,NA,NA,NA,NA
NAm-MtStHelens.Briffa.1996.lpd,tree,measured,Core,NA,NA,NA,NA,NA,NA
GeoB12605-3.Kuhnert.2014.lpd,marine sediment,measured,Depth,m,NA,NA,NA,NA,NA
GeoB12605-3.Kuhnert.2014.lpd,marine sediment,measured,D18O,per mil,1,Temperature,Sea Surface,Sea Surface Temperature,deg C
