publication,filename,archiveType,variableType,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits,rank
Temp12k1_0_1,M77_2_059_1.N_rnberg.2015.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,Mackenzie.Woltering.2014.lpd,LakeSediment,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,Mackenzie.Woltering.2014.lpd,LakeSediment,inferred,NA,NA,ageError,yr,NA
Temp12k1_0_1,Mackenzie.Woltering.2014.lpd,LakeSediment,inferred,Temperature,Air Surface,Temperature,degC,a
Temp12k1_0_1,Mackenzie.Woltering.2014.lpd,LakeSediment,inferred,NA,NA,uncertaintyHigh,degC,NA
Temp12k1_0_1,Mackenzie.Woltering.2014.lpd,LakeSediment,inferred,NA,NA,uncertaintyLow,degC,NA
Temp12k1_0_1,Malawi.Johnson.2016.lpd,LakeSediment,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,Malawi.Johnson.2016.lpd,LakeSediment,inferred,Temperature,Lake Surface,Temperature,degC,1
Temp12k1_0_1,Malawi.Johnson.2016.lpd,LakeSediment,inferred,Temperature,NA,smoothedTemp,degC,1
Temp12k1_0_1,MD03-2601.Kim.2012.lpd,MarineSediment,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,MD03-2601.Kim.2012.lpd,MarineSediment,inferred,Temperature,Sea Surface,Subsurface Temperature,degC,1
Temp12k1_0_1,MD03_2607-Assemblage.LopesdosSantos.2013.lpd,MarineSediment,inferred,Temperature,NA,Temperature,degC,1
Temp12k1_0_1,MD03_2607-Assemblage.LopesdosSantos.2013.lpd,MarineSediment,inferred,Temperature,NA,Temperature,degC,1
Temp12k1_0_1,MD03_2607-Assemblage.LopesdosSantos.2013.lpd,MarineSediment,inferred,Temperature,NA,Temperature,degC,1
Temp12k1_0_1,MD06_3067.Bolliet.2011.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,MD06_3067.Bolliet.2011.lpd,MarineSediment,inferred,Temperature,Sea Thermocline,Temperature,degC,1
Temp12k1_0_1,MD95_2002.Eynaud.2012.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,MD95_2002.Eynaud.2012.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,MD95_2002.Eynaud.2012.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,MD95_2011Assemblage.Risebrobakken.2003.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,MD97_2120.Pahnke.2006.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,MD98_2188.Dang.2012.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,MD98_2188.Dang.2012.lpd,MarineSediment,inferred,Temperature,Sea Subsurface,Temperature,degC,1
Temp12k1_0_1,MiddenCluster1.Harbert.2018.lpd,Midden,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,MiddenCluster1.Harbert.2018.lpd,Midden,inferred,Temperature,Air Surface,temperature1,degC,1
Temp12k1_0_1,MiddenCluster2.Harbert.2018.lpd,Midden,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,MiddenCluster2.Harbert.2018.lpd,Midden,inferred,Temperature,Air Surface,temperature1,degC,1
Temp12k1_0_1,MiddenCluster3.Harbert.2018.lpd,Midden,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,MiddenCluster3.Harbert.2018.lpd,Midden,inferred,Temperature,Air Surface,temperature1,degC,1
Temp12k1_0_1,MiddenCluster4.Harbert.2018.lpd,Midden,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,MiddenCluster4.Harbert.2018.lpd,Midden,inferred,Temperature,Air Surface,temperature1,degC,1
Temp12k1_0_1,MiddenCluster5.Harbert.2018.lpd,Midden,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,MiddenCluster5.Harbert.2018.lpd,Midden,inferred,Temperature,Air Surface,temperature1,degC,1
Temp12k1_0_1,MiddenCluster6.Harbert.2018.lpd,Midden,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,MiddenCluster6.Harbert.2018.lpd,Midden,inferred,Temperature,Air Surface,temperature1,degC,1
Temp12k1_0_1,MiddenCluster7.Harbert.2018.lpd,Midden,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,MiddenCluster7.Harbert.2018.lpd,Midden,inferred,Temperature,Air Surface,temperature1,degC,1
Temp12k1_0_1,MiddenCluster8.Harbert.2018.lpd,Midden,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,MiddenCluster8.Harbert.2018.lpd,Midden,inferred,Temperature,Air Surface,temperature1,degC,1
Temp12k1_0_1,MiddenCluster9.Harbert.2018.lpd,Midden,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,MiddenCluster9.Harbert.2018.lpd,Midden,inferred,Temperature,Air Surface,temperature1,degC,1
Temp12k1_0_1,MilandreCave.Affolter.2019.lpd,Speleothem,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,MilandreCave.Affolter.2019.lpd,Speleothem,inferred,Temperature,Air Surface,Temperature,degC,1
Temp12k1_0_1,MilandreCave.Affolter.2019.lpd,Speleothem,inferred,NA,NA,tempError,degC,NA
Temp12k1_0_1,Moanatuatua.Jara.2017.lpd,Peat,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,Moanatuatua.Jara.2017.lpd,Peat,inferred,Temperature,Air Surface,Temperature,degC,1
Temp12k1_0_1,MSM343300.Ouellet-Bernier.2014.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,MSM343300.Ouellet-Bernier.2014.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,MSM343300.Ouellet-Bernier.2014.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,NorthGRIP.Gkinis.2014.lpd,GlacierIce,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,NorthGRIP.Gkinis.2014.lpd,GlacierIce,inferred,Temperature,Air Surface,Temperature,degC,1
Temp12k1_0_1,NorthGRIP.Gkinis.2014.lpd,GlacierIce,inferred,NA,NA,uncertainty.temperature,NA,NA
Temp12k1_0_1,NorthGRIP.Gkinis.2014.lpd,GlacierIce,inferred,NA,NA,Temperature,degC,NA
Temp12k1_0_1,NorthGRIP.Gkinis.2014.lpd,GlacierIce,inferred,NA,NA,uncertainty.temperature,degC,NA
Temp12k1_0_1,PlateauRemote.MosleyThompson.1996.lpd,GlacierIce,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,PlateauRemote.MosleyThompson.1996.lpd,GlacierIce,inferred,Temperature,Air Condensation,D18O,permil,1
Temp12k1_0_1,PolevaCave.Constantin.2007.lpd,Speleothem,inferred,NA,NA,Age,yr bo,NA
Temp12k1_0_1,RR1313_23PC.MoffaSanchez.2019.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,SaharaSandWetland.Rao.2019.lpd,Peat,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,SipleDomeA.Das.2008.lpd,GlacierIce,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,SO42_74KL.Huguet.2006.lpd,MarineSediment,inferred,NA,NA,Temperature,unitless,1
Temp12k1_0_1,SO90_56KA.Doose-Rolinski.2001.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,Svanavatnet.Bjune.2008.lpd,LakeSediment,inferred,Temperature,Air Surface,Temperature,degC,1
Temp12k1_0_1,TALDICE.Mezgec.2017.lpd,GlacierIce,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,Tanganyika.Tierney.2008.lpd,LakeSediment,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,Tanganyika.Tierney.2008.lpd,LakeSediment,inferred,Temperature,Lake Surface,Temperature,degC,1
Temp12k1_0_1,TN057-17.Nielsen.2004.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,TN057-17.Nielsen.2004.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,TN057-17.Nielsen.2004.lpd,MarineSediment,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,TN057-17.Nielsen.2004.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,Victoria.Berke.2012.lpd,LakeSediment,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,Victoria.Berke.2012.lpd,LakeSediment,inferred,Temperature,Lake Surface,Temperature,degC,1
Temp12k1_0_1,WAISDivide.Cuffey.2016.lpd,GlacierIce,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,WAISDivide.Cuffey.2016.lpd,GlacierIce,inferred,Temperature,Air Surface,Temperature,degC,1
Temp12k1_0_1,WAISDivide.Fegyveresi.2016.lpd,GlacierIce,inferred,NA,NA,sampleID,unitless,NA
Temp12k1_0_1,WAISDivide.Fegyveresi.2016.lpd,GlacierIce,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,WAISDivide.Fegyveresi.2016.lpd,GlacierIce,inferred,NA,NA,ageUncertainty,yr,NA
Temp12k1_0_1,WAISDivide.Fegyveresi.2016.lpd,GlacierIce,inferred,Temperature,Air Surface,Temperature,degC,1
Temp12k1_0_1,WAISDivide.Fegyveresi.2016.lpd,GlacierIce,inferred,NA,NA,tempError,degC,NA
Temp12k1_0_1,WhitePond.Krause.2019.lpd,LakeSediment,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,WhitePond.Krause.2019.lpd,LakeSediment,inferred,Temperature,Soil Surface,soilTemp,degC,1
Temp12k1_0_1,WhitePond.Krause.2019.lpd,LakeSediment,inferred,Temperature,Air Surface,Temperature,degC,1
Temp12k1_0_1,WhitePond.Krause.2019.lpd,LakeSediment,inferred,NA,NA,pH,pH,NA
iso2k1_0_0,CO09NUTB.lpd,Coral,inferred,D18O_Seawater,Sea Surface,D18O,permil,1
iso2k1_0_0,CO11NUPM.lpd,Coral,inferred,D18O_Seawater,Sea Surface,D18O,permil,1
iso2k1_0_0,CO13DESC01A.lpd,Coral,inferred,D18O_Seawater,NA,D18O,permil,1
iso2k1_0_0,CO14CABT.lpd,Coral,inferred,D18O_Seawater,Sea Surface,D18O,permil,1
iso2k1_0_0,CO14CABT.lpd,Coral,inferred,D18O_Seawater,Sea Surface,D18O,permil,1
iso2k1_0_0,CO14CATI.lpd,Coral,inferred,D18O_Seawater,Sea Surface,D18O,permil,1
iso2k1_0_0,CO17DESC01A.lpd,Coral,inferred,D18O_Seawater,NA,D18O,permil,1
iso2k1_0_0,CO17DESC02A.lpd,Coral,inferred,D18O_Seawater,NA,D18O,permil,1
iso2k1_0_0,CO17DESC03A.lpd,Coral,inferred,D18O_Seawater,NA,D18O,permil,1
iso2k1_0_0,CO17DESC04A.lpd,Coral,inferred,D18O_Seawater,NA,D18O,permil,1
iso2k1_0_0,CO17WUBO1A.lpd,Coral,inferred,NA,NA,Year,AD,NA
iso2k1_0_0,CO17XISC01A.lpd,Coral,inferred,D18O_Seawater,NA,D18O,permil,1
iso2k1_0_0,GI19POYU.lpd,GroundIce,inferred,NA,NA,temperature1,degC,1
iso2k1_0_0,GI19POYU.lpd,GroundIce,inferred,NA,NA,uncertainty temperature1,degC,1
iso2k1_0_0,GI19POYU.lpd,GroundIce,inferred,NA,NA,uncertainty temperature1,degC,1
iso2k1_0_0,IC10VIP1.lpd,GlacierIce,inferred,P_Isotope,Air Surface,D18O,NA,1
iso2k1_0_0,IC10VIP1.lpd,GlacierIce,inferred,P_Isotope,Air Surface,D18O,PC,1
iso2k1_0_0,IC10VIP2.lpd,GlacierIce,inferred,P_Isotope,Air Surface,D18O,NA,1
iso2k1_0_0,IC10VIP2.lpd,GlacierIce,inferred,P_Isotope,Air Surface,D18O,PC,1
iso2k1_0_0,LS08STCR.lpd,LakeSediment,inferred,NA,NA,Age BP,AD,NA
iso2k1_0_0,MS02FLPC.lpd,MarineSediment,inferred,S,Sub Surface  30M ,D18O,permil,2
iso2k1_0_0,MS05ESCR.lpd,MarineSediment,inferred,D18O_Seawater,Sea Surface,D18O,permil,2
iso2k1_0_0,MS05LKLF.lpd,MarineSediment,inferred,D18O_Seawater,Near Sea Surface,D18O,permil,2
iso2k1_0_0,MS06DLDS.lpd,MarineSediment,inferred,D18O_Seawater,Sea Surface,D18O,permil,2
iso2k1_0_0,MS06DLGN.lpd,MarineSediment,inferred,D18O_Seawater,Sea Surface,D18O,permil,2
iso2k1_0_0,MS06DLGS.lpd,MarineSediment,inferred,D18O_Seawater,Sea Surface,D18O,permil,2
iso2k1_0_0,MS07SWGG.lpd,MarineSediment,inferred,D18O_Seawater,Sea Surface,D18O,permil,2
iso2k1_0_0,MS09DOIP.lpd,MarineSediment,inferred,D18O_Seawater,Sea Surface,D18O,permil,2
iso2k1_0_0,MS09DTNA.lpd,MarineSediment,inferred,D18O_Seawater,NA,D18O,permil,1
iso2k1_0_0,MS09DTNA.lpd,MarineSediment,inferred,D18O_Seawater,NA,D18O,permil,1
iso2k1_0_0,MS10BLMS.lpd,MarineSediment,inferred,D18O_Seawater,Sea Surface,D18O,permil,2
iso2k1_0_0,MS11ANMS.lpd,MarineSediment,inferred,D18O_Seawater,Sea Surface,D18O,permil,2
iso2k1_0_0,MS11CSCN.lpd,MarineSediment,inferred,D18O_Seawater,Sea Surface,D18O,permil,2
iso2k1_0_0,MS11CSCS.lpd,MarineSediment,inferred,D18O_Seawater,Sea Surface,D18O,permil,2
iso2k1_0_0,MS12CCCH.lpd,MarineSediment,inferred,D18O_Seawater,Sea Surface,D18O,permil,2
iso2k1_0_0,MS13RSAS.lpd,MarineSediment,inferred,D18O_Seawater,Sea Surface,D18O,permil,2
iso2k1_0_0,MS14GFSS.lpd,MarineSediment,inferred,D18O_Seawater,Surface,D18O,permil,2
iso2k1_0_0,MS14GFSS.lpd,MarineSediment,inferred,NA,NA,Temperature,degC,NA
iso2k1_0_0,MS14MOLS.lpd,MarineSediment,inferred,D18O_Seawater,Surface,D18O,permil,2
iso2k1_0_0,MS14MOLS.lpd,MarineSediment,inferred,D18O_Seawater,Subsurface,D18O,permil,2
iso2k1_0_0,MS14MORR.lpd,MarineSediment,inferred,D18O_Seawater,Base Of Thermocline,D18O,permil,2
iso2k1_0_0,MS15VIBC.lpd,MarineSediment,inferred,D18O_Seawater,Surface,D18O,permil,2
iso2k1_0_0,MS15VIBC.lpd,MarineSediment,inferred,NA,NA,Temperature,degC,NA
iso2k1_0_0,SP98KUCN.lpd,Speleothem,inferred,NA,NA,Age,BP,NA
iso2k1_0_0,TR11SAHU00.lpd,Wood,inferred,NA,NA,Year,AD,NA
iso2k1_0_0,TR13SAWA00.lpd,Wood,inferred,NA,NA,Year,AD,NA
iso2k1_0_0,TR17SAMA.lpd,Wood,inferred,NA,NA,Year,AD,NA
iso2k1_0_0,TR18XUGA00.lpd,Wood,inferred,NA,NA,Year,AD,NA
iso2k1_0_0,TR18XUJA00.lpd,Wood,inferred,NA,NA,Year,AD,NA
PalMod1_0_1,323_U1340A.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,CH69_K09.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,GeoB12615_4.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,GeoB1711_4.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,GeoB1720_2.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,GeoB5844_2.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,GeoB9508_5.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,GeoB9508_5.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,GeoB9508_5.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,GeoB9508_5.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,GeoB9526_5.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,GIK15612_2.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,GIK15612_2.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,GIK15637_1.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,GIK15637_1.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,GIK17049_6.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,GIK17049_6.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,GIK17051_3.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,GIK17051_3.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,GIK17940_2.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,GIK17940_2.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,GIK17961_2.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,GIK17961_2.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,GIK17961_2.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,GIK18471_1.lpd,marine sediment,inferred,NA,NA,deep.temp,degC,NA
PalMod1_0_1,GIK18471_1.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,GIK23258_2.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,GIK23258_2.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,GIK23258_2.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,GIK23258_2.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,GIK23258_2.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,GIK23415_9.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,H214.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,H214.lpd,marine sediment,inferred,NA,NA,surface.temp.error,degC,NA
PalMod1_0_1,H214.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,H214.lpd,marine sediment,inferred,NA,NA,surface.temp.error,degC,NA
PalMod1_0_1,HU91_045_093.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,KNR159_36.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,LV29_114_3.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,LV29_114_3.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,LV29_114_3.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,LV29_114_3.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,M35003_4.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,M35003_4.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,M35003_4.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,M35003_4.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,M35003_4.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,M35003_4.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,M35003_4.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,M77_2_056_5.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,M77_2_056_5.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,M77_2_059_1.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,M77_2_059_1.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,M77_2_059_1.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,MD01_2378.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,MD01_2378.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,MD01_2378.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,MD01_2378.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,MD01_2378.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,MD01_2378.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,MD01_2416.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,MD01_2416.lpd,marine sediment,inferred,NA,NA,surface.temp.error,degC,NA
PalMod1_0_1,MD01_2416.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,MD01_2416.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,MD01_2416.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,MD01_2416.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,MD02_2489.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,MD02_2575.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,MD06_3067.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,MD06_3067.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,MD06_3075.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,MD07_3076.lpd,marine sediment,inferred,NA,NA,deep.temp,degC,NA
PalMod1_0_1,MD73_025.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,MD73_025.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,MD88_770.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,MD95_2024.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,MD95_2039.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,MD95_2040.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,MD95_2040.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,MD95_2040.lpd,marine sediment,inferred,NA,NA,CaCO3,percent,NA
PalMod1_0_1,MD95_2043.lpd,marine sediment,inferred,NA,NA,deep.temp,degC,NA
PalMod1_0_1,MD95_2043.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,MD97_2120.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,MD97_2120.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,MD98_2181.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,MD98_2181.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,MD98_2181.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,MD99_2339.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,MD99_2339.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,MSM05_5_712_1.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,MSM05_5_712_1.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,MSM05_5_723_2.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,NA87_22.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,NA87_22.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,ODP1145.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,ODP846.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,ODP980.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,ODP980.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,ODP984C.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,R657.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,R657.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,R657.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,RAPiD_15_4P.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,RAPiD_15_4P.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,RAPiD_15_4P.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,RS147_GC07.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,RS147_GC07.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,SO164_17_2.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,SO164_17_2.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,SO201_2_12KL.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,SO201_2_12KL.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,SO201_2_12KL.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,SO201_2_12KL.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,SO201_2_85.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,SO201_2_85.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,SO213_2_59_2.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,SO213_2_59_2.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,SO213_2_59_2.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,SO42_74KL.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,SO42_74KL.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,SO42_74KL.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,SO82_5_2.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,SU81_18.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,SU81_18.lpd,marine sediment,inferred,NA,NA,surface.temp.error,degC,NA
PalMod1_0_1,SU81_18.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
PalMod1_0_1,SU81_18.lpd,marine sediment,inferred,NA,NA,surface.temp,degC,NA
