publication,filename,archiveType,variableType,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits,rank
PAGES2kv2,Eur-CoastofPortugal.Abrantes.2011.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Eur-FinnishLakelands.Helama.2014.lpd,tree,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,Eur-LakeSilvaplana.Larocque-Tobler.2010.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,Eur-LakeSilvaplana.Trachsel.2010.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,Eur-Seebergsee.Larocque-Tobler.2012.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,Eur-Stockholm.Leijonhufvud.2009.lpd,documents,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,Eur-Tallinn.Tarand.2001.lpd,documents,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,NAm-BasinPond.Gajewski.1988.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,NAm-ClearPond.Gajewski.1988.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,NAm-ConroyLake.Gajewski.1988.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,NAm-DarkLake.Gajewski.1988.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,NAm-HellsKitchenLake.Gajewski.1988.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,NAm-LacNoir.Paquette.2013.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,NAm-LakeMina.St.Jacques.2008.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,NAm-LakeMina.St.Jacques.2008.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,NAm-LakeoftheClouds.Gajewski.1988.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,NAm-LittlePineLake.Gajewski.1988.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,NAm-RubyLake.Gajewski.1988.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,Ocn-AlboranSea384B.Nieto-Moreno.2013.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
