publication,filename,archiveType,variableType,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits,rank
wiki_lipd_files,A7.Oppo.2005.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1.0
PAGES2kv2,Afr-LakeMalawi.Powers.2011.lpd,lake sediment,inferred,Temperature,Lake Surface,Temperature,degC,1.0
PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,lake sediment,inferred,Temperature,Lake Surface,Temperature,degC,1.0
PAGES2kv2,Afr-P178-15P.Tierney.2015.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1.0
PAGES2kv2,Ant-DSS.DahlJensen.1999.lpd,borehole,inferred,Temperature,Ice Surface,Temperature,degC,1.0
PAGES2kv2,Ant-WAIS-Divide.Severinghaus.2012.lpd,borehole,inferred,Temperature,Ice Surface,Temperature,degC,1.0
PAGES2kv2,Ant-WAIS-Divide.Severinghaus.2012.lpd,borehole,inferred,NA,NA,uncertainty_temperature,degC,NA
PAGES2kv2,Arc-BigRoundLake.Thomas.2009.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,Arc-GulfofAlaska.Wilson.2014.lpd,tree,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,Arc-HalletLake.McKay.2008.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,Arc-HalletLake.McKay.2008.lpd,lake sediment,inferred,NA,NA,uncertainty_temperature,degC,NA
PAGES2kv2,Arc-HudsonLake.Clegg.2011.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,Arc-Iceland.Bergthorsson.1969.lpd,documents,inferred,Temperature,Air Surface,Temperature,degC,1
wiki_lipd_files,Arc-Kongressvatnet.D'Andrea.2012.lpd,lake sediment,inferred,NA,NA,Temperature,degC,NA
PAGES2kv2,Arc-Lomonosovfonna.Divine.2011.lpd,glacier ice,inferred,Temperature,Air Condensationlevel,Temperature,degC,1
PAGES2kv2,Arc-MackenzieDelta.Porter.2013.lpd,tree,inferred,N/A,NA,Temperature,degC,1
PAGES2kv2,Arc-MD992275.Jiang.2005.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Arc-SoperLake.Hughen.2000.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,Arc-Tornetrask.Melvin.2012.lpd,tree,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,Arc-Tornetrask.Melvin.2012.lpd,tree,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,Arc-Yamalia.Briffa.2013.lpd,tree,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,Arc-Yamalia.Briffa.2013.lpd,tree,inferred,NA,NA,uncertainty_temperature,degC,NA
PAGES2kv2,Asi-CentralChina.Wang.1998.lpd,documents,inferred,Temperature,Air Surface,Temperature,index,1
PAGES2kv2,Asi-EastChina.Wang.1990.lpd,documents,inferred,Temperature,Air Surface,Temperature,index,1
PAGES2kv2,Asi-EastChina.Wang.1998.lpd,documents,inferred,Temperature,Air Surface,Temperature,index,1
PAGES2kv2,Asi-Fujian.Wang.1998.lpd,documents,inferred,Temperature,Air Surface,Temperature,index,1
PAGES2kv2,Asi-Guangdong.Zheng.1982.lpd,documents,inferred,Temperature,Air Surface,Temperature,index,1
PAGES2kv2,Asi-GuangdongAndGuangxi.Zhang.1980.lpd,documents,inferred,Temperature,Air Surface,Temperature,index,1
PAGES2kv2,Asi-Hunan-Jiangsu.Zhang.1980.lpd,documents,inferred,Temperature,Air Surface,Temperature,index,1
PAGES2kv2,Asi-KunashirIsland.Demezhko.2009.lpd,hybrid,inferred,Temperature,Ground Surface,Temperature,degC,1
PAGES2kv2,Asi-LowerYangtzeRiver.Zhang.1980.lpd,documents,inferred,Temperature,Air Surface,Temperature,index,1
PAGES2kv2,Asi-MiddleYangtzeRiver.Zhang.1980.lpd,documents,inferred,Temperature,Air Surface,Temperature,index,1
PAGES2kv2,Asi-SihailongwaLake.Chu.2011.lpd,lake sediment,inferred,Temperature,Lake Surface,Temperature,degC,1
wiki_lipd_files,Asi-SO90-39KG_SO130-275KL.Munz.2015.lpd,marine sediment,inferred,NA,NA,Temperature,degC,NA
PAGES2kv2,Asi-SourthAndMiddleUrals.Demezhko.2007.lpd,borehole,inferred,Temperature,Ground Surface,Temperature,degC,1
PAGES2kv2,Asi-SouthChina.Wang.1998.lpd,documents,inferred,Temperature,Air Surface,Temperature,index,1
PAGES2kv2,Asi-ZhejiangAndFujian.Zhang.1980.lpd,documents,inferred,Temperature,Air Surface,Temperature,index,1
PAGES2kv2,Aus-MtRead.Cook.2006.lpd,tree,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,Aus-Oroko.Cook.2002.lpd,tree,inferred,Temperature,Air Surface,Temperature,degC,1
wiki_lipd_files,BJ8-03-13GGC.Linsley.2010.lpd,marine sediment,inferred,D18Osw,Sea Surface,D18O,per mil,1
wiki_lipd_files,BJ8-03-13GGC.Linsley.2010.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1
wiki_lipd_files,BJ8-03-13GGC.Linsley.2010.lpd,marine sediment,inferred,NA,NA,rep diff.,NA,NA
wiki_lipd_files,BJ8-03-13GGC.Linsley.2010.lpd,marine sediment,inferred,NA,NA,Sea Surface Temperature,deg C,NA
wiki_lipd_files,BJ8-03-70GGC.Linsley.2010.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1
wiki_lipd_files,BJ8-03-70GGC.Linsley.2010.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1
PAGES2kv2,Eur-CentralandEasternPyrenees.Pla.2004.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,Eur-CentralandEasternPyrenees.Pla.2004.lpd,lake sediment,inferred,NA,NA,uncertainty_temperature,degC,NA
PAGES2kv2,Eur-CoastofPortugal.Abrantes.2011.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Eur-FinnishLakelands.Helama.2014.lpd,tree,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,Eur-LakeSilvaplana.Larocque-Tobler.2010.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,Eur-LakeSilvaplana.Trachsel.2010.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,Eur-Seebergsee.Larocque-Tobler.2012.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,Eur-Stockholm.Leijonhufvud.2009.lpd,documents,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,Eur-Tallinn.Tarand.2001.lpd,documents,inferred,Temperature,Air Surface,Temperature,degC,1
wiki_lipd_files,GeoB10042-1.Setiawan.2016.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1
wiki_lipd_files,GeoB10042-1.Setiawan.2016.lpd,marine sediment,inferred,D18Osw,Sea Surface,D18O,per mil,1
wiki_lipd_files,GeoB10042-1.Setiawan.2016.lpd,marine sediment,inferred,NA,NA,Relative Sea Level,m,NA
wiki_lipd_files,GeoB10043-3.Setiawan.2016.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1
wiki_lipd_files,GeoB10043-3.Setiawan.2016.lpd,marine sediment,inferred,D18Osw,Sea Surface,D18O,per mil,1
wiki_lipd_files,GeoB10043-3.Setiawan.2016.lpd,marine sediment,inferred,NA,NA,Relative Sea Level,m,NA
wiki_lipd_files,GeoB10069-3.Gibbons.2014.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1
wiki_lipd_files,GeoB10069-3.Gibbons.2014.lpd,marine sediment,inferred,D18Osw,Sea Surface,D18O,per mil,1
wiki_lipd_files,GeoB10069-3.Gibbons.2014.lpd,marine sediment,inferred,D18Osw,Sea Surface,D18O,per mil,1
wiki_lipd_files,GeoB1023-5.Kim.2002.lpd,marine sediment,inferred,NA,NA,Sedimentation Rate,cm/kyr,NA
wiki_lipd_files,GeoB1023-5.Kim.2002.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1
wiki_lipd_files,GeoB12605-3.Kuhnert.2014.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1
wiki_lipd_files,GeoB12605-3.Kuhnert.2014.lpd,marine sediment,inferred,D18Sw,NA,D18O,per mil,1
wiki_lipd_files,GeoB12610-2.Rippert.2015.lpd,marine sediment,inferred,NA,NA,Age,kyr BP,NA
wiki_lipd_files,GeoB12610-2.Rippert.2015.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1
wiki_lipd_files,GeoB12610-2.Rippert.2015.lpd,marine sediment,inferred,NA,NA,Sea Surface Temperature,deg C,NA
wiki_lipd_files,GeoB12610-2.Rippert.2015.lpd,marine sediment,inferred,Temperature,Thermocline,Thermocline Temperature,deg C,1
wiki_lipd_files,GeoB12610-2.Rippert.2015.lpd,marine sediment,inferred,NA,NA,Thermocline Temperature,deg C,NA
wiki_lipd_files,GeoB3129-1.Weldeab.2006.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1
wiki_lipd_files,GeoB3129-1.Weldeab.2006.lpd,marine sediment,inferred,D18Osw,Sea Surface,D18O,per mil,1
wiki_lipd_files,GeoB3129-1.Weldeab.2006.lpd,marine sediment,inferred,Salinity,Sea Surface,Sea Surface Salinity,psu,1
wiki_lipd_files,GeoB33021.Kim.2002.lpd,marine sediment,inferred,NA,NA,Sedimentation Rate,cm,NA
wiki_lipd_files,GeoB33021.Kim.2002.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1
wiki_lipd_files,GeoB3911-3.Weldeab.2006.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1
wiki_lipd_files,GeoB3911-3.Weldeab.2006.lpd,marine sediment,inferred,D18Osw,Sea Surface,d18ow,per mil,1
wiki_lipd_files,GeoB3911-3.Weldeab.2006.lpd,marine sediment,inferred,Salinity,Sea Surface,Sea Surface Salinity,psu,1
wiki_lipd_files,GeoB7702-3.Castaneda.2010.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1
wiki_lipd_files,GeoB7702-3.Castaneda.2010.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1
wiki_lipd_files,GIK16160-3.Wang.2003.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1
Temp12k1_0_1,GIK17748-2.Kim.2002.lpd,MarineSediment,inferred,NA,NA,Sedimentation Rate,cm/kyr,NA
